LL20_1	LL20_2	LL20_3	LDZT8_1	LDZT8_2	LDZT16_1	LDZT16_2
8.70854515081336	8.73595934729708	8.74137095343986	8.32658218254969	8.38279170802623	8.40301992198365	8.34964095464582
8.56787011759696	8.482974593386	8.59473003931859	8.14567845297397	8.3499025276016	8.40505852960863	8.51427988486585
9.3761856709379	9.42139862951459	9.41582802842977	9.1768863526782	9.21986227780381	9.05318401583422	9.03817459428637
9.72986679950775	9.7659498625679	9.74965236663002	9.97837247783479	9.82750021933422	9.72380556216859	9.76683950573836
8.95043811512406	8.92054699714057	8.97614986712136	8.91855389198927	9.12371505844092	9.05777532819573	9.19935083593992
8.63786469144279	8.69063355563546	8.62591419323655	8.86151682242737	8.41915853322543	8.49674263695394	8.45383768337531
8.70458578795981	8.68410954885134	8.69499654263298	8.68984627749622	8.69974532101048	8.74444056792554	8.73053173521627
6.92035902803203	6.76087116580362	6.82613835726871	6.51170722713862	6.90591525774637	6.26052853497592	6.59550402496026
9.59571016682213	9.57111625252912	9.6168758153125	9.46277979616379	9.67724314743236	9.61690338764858	9.7031231547751
6.8314766669936	6.93316188070592	6.91381543670851	6.62414168399844	6.39906996113035	6.34277704476898	6.22889730884758
9.37908731515978	9.46217774058296	9.3646363521121	9.31394452063142	9.12038165951702	9.27819883296704	9.15067451580152
7.17694439976631	7.38149404979582	7.18479114146753	7.64012431003371	7.2568187314216	7.32326654015402	7.2980964386866
5.37084574695823	5.2197513079088	5.14234936639279	5.41791012053101	5.34946797523475	5.56001647469571	5.2608427153748
7.92487680390139	8.00196015783235	7.88313676265333	7.78722764793145	7.53636886356911	7.61910864387084	7.51807687599403
8.59169459706773	8.49179019606173	8.55311131732112	8.63997676835204	8.69077347122414	8.51679737041604	8.66977270638084
7.75801622575401	7.80933117189248	7.75148877774463	8.07072436685115	7.79770780268346	7.67483923301991	7.75810523078351
8.68809302288248	8.68546169669743	8.68395734984383	8.78717517209955	8.88313510339034	8.75582481454073	8.72258640039933
9.09682426193462	9.09553287757712	9.14652453667365	9.55538188314835	9.39420010096516	9.29079787840771	9.34302991031434
9.38949864326106	9.49670101339284	9.42504103330545	9.39224730966189	9.21443453926729	9.31297341122176	9.19032133004339
7.8914479149919	7.96830370194703	7.8796968963807	7.46594949964682	7.68325711072479	7.71908639197006	7.76649018491927
8.08296294108671	8.1082359546735	8.17858432043957	8.20777442829531	8.23443478854017	8.2147663839868	8.17713224877962
8.87506243847426	8.90056358775007	8.89312545132892	9.26438947575178	9.31370692153039	9.34541541300539	9.09844453405213
9.30893723698966	9.28961271630524	9.36273985933154	9.68793582573995	9.51020621326794	9.50739590002616	9.32421726225902
8.97404762949735	8.9487128746759	8.99434668092445	8.78146429651885	8.79749740995699	8.78377226977451	8.8004991745482
8.17168872840097	8.07151807275195	8.18420451370675	8.09103208151689	8.12858507643116	7.96035150125188	8.10935939675156
8.02343393998227	7.98088194184371	8.0642745276487	8.31871771642365	8.65387994525962	8.61348140234526	8.59143407578751
8.62591488279446	8.69128606893933	8.678373182493	8.8994323048753	8.58839547572428	8.67790369470553	8.66776036363736
9.02197211027877	8.98319177291897	9.09041975747399	9.25430801530437	9.52042252755708	9.42082496822287	9.5248848705801
9.04138906095922	9.05999977737413	9.0477763020708	8.56695751438686	8.62759619634657	8.52274797715417	8.64673901541572
8.28087600663013	8.30092744614888	8.28163714933799	8.33394893214773	8.51920115699761	8.72218285813737	8.83220835143702
9.30038538788965	9.21102953456882	9.27984131809879	8.86471915457718	9.02145214825221	9.00840801279694	9.108218278985
4.51767155312416	4.24390921817529	4.307581280713	4.31646885047223	4.60236790533878	4.75534229768158	5.09127686293061
9.95171662161718	9.89360002126993	9.96238696046177	9.68087910805839	9.81731679806994	9.95212383419937	9.92592298907072
9.09928784994566	9.06166739285329	9.1296702250751	8.91478067103779	9.05729107138889	8.83243999969459	8.94200639768736
9.08266802190378	8.9580666996255	9.04346557419527	8.79600665672352	9.06334269653802	9.07648824578635	9.04519477577178
9.09635347099528	9.007645969158	9.01467652321783	8.82825231173571	9.42660798183715	9.20730983318835	9.30329419117827
3.9876123262287	3.93915507314113	3.95405333323757	3.96486790685835	4.02100540887426	3.96603703990322	4.0384205760879
6.47985316068029	6.50784257276414	6.34618175972153	6.37014683446003	6.69653822328127	6.69473319060381	6.57114675644947
9.29341751375162	9.36284072096488	9.28431204430248	8.96855814475118	8.82730887363047	8.80034472795807	8.80435445177686
