LL20_1	LL20_2	LL20_3	LDZT8_1	LDZT8_2	LDZT16_1	LDZT16_2
427.493651990019	401.602673302315	409.763778493579	293.902347750369	336.7543091343	362.658847128978	360.278552206943
390.027587317152	338.534201965267	372.159819214489	257.849109439377	329.059998948444	361.024328381354	402.153033055557
653.460854548249	620.840692712054	622.255992832566	550.382346874139	608.106981688824	595.16913897843	605.204760944119
822.350849206407	780.514044747915	770.135054918195	983.477576711251	933.063348538145	965.796265002073	1009.72804763262
490.278580680097	442.146690590418	463.036054138957	458.195585623246	566.301229679006	590.674212422465	669.464970548282
404.516417014862	387.086914026328	375.890370730272	428.531528785088	345.474527344937	389.219776777861	388.984957316999
419.590653973086	381.747784177689	389.917244429615	384.719998685654	420.109336147741	466.246472759621	474.840811132397
135.22907717863	108.61792285825	120.72064705073	80.3211385156289	114.645221769255	69.8756764609073	89.2795535074223
752.394681575038	683.408620625793	705.969568846731	681.81693717244	839.449241276896	892.038606515559	965.483313151063
126.301616455798	121.465204056537	127.435639779139	87.1666900936654	80.7902569514887	74.1662881734192	69.0007168700432
653.607206363377	637.692321296821	599.425017555975	606.059499708836	568.096568722373	697.12224586145	655.50681026541
164.645792019436	172.520633234148	158.175384269189	168.400568819699	146.961324549851	147.515316973027	151.696232508187
38.929582824151	32.201626899604	32.2319650963631	41.9860496786242	41.0363209912323	45.3578952465539	36.0805275236485
266.506655348793	256.945623965752	247.260954466082	188.480853448606	180.303335355227	192.464582532675	189.093567605691
391.930160913821	337.366267310877	357.536057272621	367.377934687961	417.031612073399	394.531962707637	451.664997832535
235.91912598696	223.576062411758	223.833090946966	230.466903127231	216.723070234946	201.658750488057	225.174095129339
413.590229552822	380.913545138839	385.440582610676	413.014945208205	477.303708529271	471.354343845945	473.524003558541
537.842920596823	494.870597845728	515.71144154181	716.044695062623	686.588945584556	702.638746634679	748.473424979629
657.266001741587	652.374928380579	623.89743549951	641.199997809424	606.824596657848	715.510581772215	674.468839328934
259.920823668016	250.605407270493	246.067177981031	151.058504822007	199.795587826062	206.766621574381	225.174095129339
284.068873164199	264.954318738711	284.417247563278	263.325550701806	300.847528266972	308.924043300853	313.926925607219
464.081605772116	434.805387048539	435.579194982796	583.240994448714	647.091486630495	723.887490353785	626.800405155354
619.946288883848	564.112438070265	595.694466040193	789.976652105418	745.835134015648	821.34567068084	741.099302566037
500.962263184469	453.659189326546	473.033932201255	414.384055523812	450.63009988497	484.634808670386	503.810577757224
303.97272002166	259.782036697842	287.99857701843	240.963415546887	278.277551721794	256.823758220352	297.861873206179
269.433691651361	240.260843188755	259.347941377218	288.42590648794	405.490146794614	413.533243148761	422.168508178165
397.930585334085	384.250501294238	386.186692913832	444.048112361971	388.819141391926	444.589099353609	454.035251465475
510.914186613199	457.997232328565	496.31257365974	580.959143922702	749.169335096185	768.428126226528	848.550800592669
527.012886277322	492.367880729178	494.07424275027	355.512311952698	400.104129664515	402.295926758849	450.61155177345
319.046956979884	297.990184677165	299.041009505147	294.358717855572	370.096319939677	450.718544657197	501.967047153826
622.873325186416	538.918419097	569.132939247819	442.222631941161	528.599109768311	573.511765572418	631.540912421235
19.6111432272039	15.0163026992972	16.5636487300755	20.9930248393121	25.1347466071298	26.7652444923358	32.6568278316235
957.433574569909	852.091754281231	890.706479908294	803.667755261491	926.90790038946	1133.74306632039	1127.45064473532
543.843345017087	487.862989919389	515.412997420547	456.826475307639	540.653529059486	504.861978172228	559.643218888709
537.550216966566	453.992884942085	485.419363233654	420.773236996647	542.961822115243	598.029546786771	601.254338222552
540.477253269134	467.841252986993	473.332376322518	431.269749416303	700.182226912902	658.711055292296	723.454081076369
12.5862561010413	11.3456509283579	12.0869869111362	17.3420639976926	17.1839594150785	15.9365577893297	16.0650524010406
98.0557161360194	89.5972727724733	85.2057966204785	73.4755869375923	99.5130784037384	95.0064022056196	87.1726613892531
621.263455220003	600.151564548578	572.565046642339	474.624909410534	461.402134145169	494.850550843034	509.86789259696
216.015279129499	194.044000436474	202.942002458583	186.655373027797	194.409570695963	201.86306533151	225.964179673653
870.20789275339	782.182522825614	795.502805225518	781.761990211774	924.086653321313	1036.08057114989	1085.83952540148
488.961414343941	444.482559899197	450.352178985296	297.096938486786	394.974589540611	417.210910330914	441.920621786002
749.467645272471	702.596118519339	655.830956474611	773.54732831813	791.231564112198	816.237799594517	811.943550039478
554.673379336587	519.897769011223	500.93845753931	514.329108563146	507.8244722665	511.808682849628	491.169225048208
792.787782550473	764.496655201998	728.054433820165	686.837008329667	650.169210704837	697.326560704902	703.965328983303
773.469342953526	714.942856294317	707.312567392413	804.124125366693	891.770550540718	943.934576752608	973.120797079426
27.9531966895219	25.8614102043452	26.7107488530046	34.2277578901828	40.7798439850371	38.8198202560596	44.5080959963256
68.3462976649568	52.8907550630801	59.8380463131556	60.6972239919241	68.2228836479238	51.2830257066893	72.1610550472971
