LL20_1	LL20_2	LL20_3	LDZT8_1	LDZT8_2	LDZT16_1	LDZT16_2
8.71021257522544	8.74280349021763	8.75633593529723	8.26681764803094	8.38814495761889	8.40009090593505	8.35616442862323
8.57158390791962	8.48510979710899	8.60933367596725	8.07814231755207	8.35493882175713	8.39387741167045	8.50788560596274
9.35156528210086	9.399883401358	9.39434613118411	9.17127025573713	9.23720397000291	9.08149522912307	9.07187551251154
9.69901293317099	9.74512532443779	9.71996231954182	10.0081316916377	9.8522679112009	9.74738960301093	9.77817619619171
8.9173263819418	8.88787995918819	8.94299383809062	8.90698800176099	9.13487868974107	9.07106746760859	9.21111845379668
8.62671202870142	8.68727296859845	8.62456597692463	8.810494577285	8.42487347295995	8.49731413055204	8.46194776441546
8.68201008038653	8.66632250936553	8.68051717465855	8.65501288003477	8.70587754201539	8.74569029697612	8.73714265242242
6.9706365729243	6.77036770341952	6.88996935602713	6.39666545838566	6.84013314849877	6.13497681534163	6.43113534248683
9.56464016955073	9.54471846032115	9.5871073737951	9.48000042957332	9.70037458205073	9.63811428668115	9.71634878383419
6.86741184626313	6.93899484579201	6.97263896911195	6.51457861768576	6.33732412663668	6.2169463382139	6.07561046483003
9.35190374385611	9.44028069587986	9.33725918463466	9.31019646669756	9.13942609754904	9.29898419407452	9.1820449068761
7.26811994588853	7.46827891727947	7.30265139842431	7.46395007086917	7.19689351359518	7.16277766271651	7.16260176662037
5.08861627134398	4.9364149210984	4.87329970577593	5.46146242120762	5.36413581931183	5.54057308388828	5.18096901910278
7.99601482822853	8.06915000989624	7.98490256451373	7.62635527159961	7.4906480195939	7.52863598687464	7.46666711356669
8.57893867163849	8.47989682637442	8.5481134431205	8.58851643166447	8.69531385579581	8.51596053642687	8.66809676088838
7.81175970020321	7.85931103220943	7.83288173882426	7.9162902082662	7.75496339951915	7.59282383542951	7.70763212255818
8.66024000808506	8.6630225543932	8.66288213074152	8.75732511151774	8.88924928297779	8.76067747895303	8.73331081070563
9.05727120900504	9.05780915662602	9.1075357430632	9.55061529851636	9.4115922582109	9.30982610358612	9.3650496602084
9.36034074780016	9.47461740247411	9.39836935376374	9.39145352932318	9.23417113194817	9.33479642685311	9.22139365745864
7.95819631731968	8.03146262214836	7.97751148979327	7.30727215375919	7.6381266082042	7.6272305806375	7.70763212255818
8.09246866430673	8.11544752084154	8.19870450880775	8.10844117146121	8.22616208609472	8.17950430148373	8.16613592558351
8.83433029151421	8.86262442707834	8.84964006312986	9.25486859475476	9.32647319517197	9.35080680153488	9.1202546944637
9.27199034401354	9.25534627234411	9.32772501811336	9.69227469417738	9.53050244941518	9.5245448183524	9.35138771379485
8.9499076731973	8.92665289229928	8.97561772010006	8.76209621593018	8.80663276698967	8.79889671344943	8.81885812169564
8.19482261264275	8.08571004052661	8.21781438693487	7.98049898110182	8.11412515693043	7.92544025657579	8.09365213853708
8.01252401434925	7.96787649357966	8.05778909421901	8.23970084731656	8.65499348668804	8.58066142697829	8.57490724204846
8.60190277449291	8.67617927815467	8.66583548272216	8.86177267269082	8.59467945330595	8.68026564820741	8.6753189976959
8.97963824287991	8.9410082822076	9.04898149972422	9.24921720609557	9.5369105962857	9.43293995012303	9.53821232019781
9.02652697379717	9.05016130105282	9.04207846928827	8.54118471541312	8.63578291588305	8.5427661940931	8.6648747038132
8.26797492083633	8.29269026242634	8.27527472826946	8.26905452575018	8.52377908898379	8.699099944574	8.81379976713938
9.27910953269102	9.18642799895215	9.25806455556374	8.85583376665751	9.03589916623951	9.03050895325012	9.13065123409466
4.05231436446287	3.7856792211416	3.85658380248764	4.4621747270221	4.65987850692036	4.81501901273064	5.04339932394436
9.92888072199655	9.87747534567096	9.94208888459761	9.71704622116172	9.84275885374075	9.96792095922824	9.93034275379728
9.07403973155209	9.03629667985374	9.1066517037718	8.90267378188062	9.06829333219495	8.85514055325225	8.96387863893532
9.05644845397016	8.92776201647884	9.0150892494008	8.78415494530729	9.07441400118152	9.08809015249407	9.06283916511859
9.06465591894917	8.97308594452051	8.97658093541628	8.8196772032394	9.43975765343192	9.22102606017533	9.31813682013436
3.38201936784304	3.36286926569327	3.37539901238611	4.18673662042481	4.11355478486512	4.10183292482412	4.06452643037085
6.48482037320234	6.479981587641	6.3578857739975	6.26824225965989	6.63676997776003	6.5575701559845	6.39818224645682
9.27519812936006	9.34875998038787	9.26724641309146	8.95777605842341	8.84057107399367	8.82759007666401	8.83534906480143
7.67854494351075	7.64561967198222	7.68324823108506	7.61232433456404	7.59886619251616	7.59421675702079	7.71246521091605
9.78450534738338	9.74834635665948	9.76945582978174	9.67720486287477	9.83837941197256	9.84401544276157	9.87845287945352
8.91326043758089	8.89582793520849	8.90057643540887	8.28240339335142	8.61724517670541	8.59284014852972	8.63800168248066
9.55874890907373	9.58648518639635	9.47460160995009	9.66197584026824	9.61538877840029	9.51596394240293	9.47736233417818
9.10384183518912	9.13222783945029	9.06314964348901	9.07359748648322	8.97829726972231	8.8739380075376	8.78379399292299
9.64367819304598	9.71384834072956	9.63415007746399	9.49057622985734	9.33329007559181	9.29938727391736	9.2804560457153
9.60639263056373	9.61276227566787	9.59000983491564	9.71786465286171	9.78723883971352	9.71589586284734	9.72722114388813
