LL20_1	LL20_2	LL20_3	LDZT8_1	LDZT8_2	LDZT16_1	LDZT16_2
8.7323187919006	8.76671955365341	8.78346143811428	8.2782940287652	8.40069154719004	8.384982246567	8.33602120302088
8.59999196671795	8.52025227693557	8.64459127779685	8.08948420795314	8.36734580138683	8.3784652618392	8.49465303493183
9.34451660908	9.39517380230468	9.3861771962992	9.18339134255067	9.25332029377916	9.09966892342794	9.0843317707811
9.67616983403562	9.72537527353134	9.69378044325123	10.020849304627	9.87097017394864	9.79808808664624	9.82280330980314
8.93001752930391	8.90547577151683	8.9597935094959	8.91892070460136	9.15056480307532	9.08873183076464	9.22991700313994
8.65261404945967	8.71360821719384	8.65898093470142	8.82235849830436	8.43757448175945	8.48695421966827	8.44662279889977
8.70539833831194	8.6935704639573	8.7118369372872	8.66676597159267	8.71975998793816	8.74746201357627	8.73435236956733
7.07182119048748	6.88021286034455	7.02034142039715	6.40680876928789	6.84617136748046	6.00923145217349	6.32331015127133
9.54790544582174	9.53369912717891	9.56827497347884	9.49234158343983	9.71843823334191	9.68347535227838	9.75815975867487
6.97328889825037	7.0414937673776	7.09843778758766	6.52480597868634	6.34124836468443	6.09520467528334	5.95159168967244
9.34483968489389	9.43381119015637	9.33224827401264	9.32241658199751	9.15513132973953	9.32778086860588	9.19951920311602
7.35578143517582	7.54771959749384	7.41019407741774	7.47485415671098	7.20443167505406	7.08723396417476	7.0880936895773
5.27535458457261	5.12615616444699	5.11523303013064	5.4709391067076	5.36396844118451	5.38579480363769	5.01620077109551
8.05058735604825	8.12241376276117	8.05470341518863	7.63737512207003	7.49942122536969	7.47096218690037	7.40600872195804
8.60701239439573	8.51526640908192	8.58675772075596	8.60022212365257	8.70915188837218	8.50651138623824	8.66216154919516
7.87470817759938	7.92171641252404	7.91109231335042	7.92751672828975	7.7648478774667	7.53828521174398	7.65794929790824
8.68461789940535	8.69041427140361	8.69517745608518	8.76915113262116	8.9039026863563	8.76318122597057	8.73034599364943
