T10_1	T10_2	T10_3	T14_1	T14_2	T14_3	T20_1	T20_2	T20_3	T26_1	T26_2	T26_3	T24_1	T24_2	T24_3
5.26196171253981	5.11605688458187	5.07607915318242	5.25527284094816	5.11874104353442	5.1940339853112	4.94154844135455	4.81920598572033	4.78293574595074	5.35416582281502	5.36161455454886	5.33653624385224	4.61562819688699	4.3970227685201	4.36336897383639
4.55210873778721	4.39885157210263	4.31407892650296	4.3537907789019	4.22106877265513	4.08913211420668	4.52721421365651	4.26311967654081	4.12492535461206	4.67994678712025	4.77433679453401	4.69325142858001	3.59480275570231	4.02645910490318	3.74461325373461
3.83376481592165	3.89219767049291	3.77203184035239	3.56056293484447	3.18302912286698	3.28616842829256	2.95769611086569	2.98168217818544	2.94791673815242	3.21755145055121	3.36568607543222	3.16539425558023	3.28107331669837	3.52619242947518	3.43170206119066
6.63068109075127	6.61394529449509	6.56236967678942	6.28647716164424	6.21954995022952	6.25493118275769	6.30927500978015	6.50951680702091	6.48325724458515	6.29113769729035	6.27884080254375	6.17255953521091	6.96054871470956	7.44085644999041	7.33984770995092
4.7116248838175	4.75315975156358	4.82674018347363	4.77860905778781	4.70249742601509	4.78059850883082	5.02252312651179	5.24789381307535	5.01491927498061	4.76396850411819	4.67461516269915	4.74639556912495	5.52246611497618	5.60554418607578	5.30691965766479
7.85823700505146	7.70602455678524	7.61872278539079	7.30584648223464	7.33420133939507	7.46143770309133	7.20964809301225	7.15420269959196	7.33416149920244	7.39844502823585	7.35247323020932	7.36176956357677	6.67214090711709	6.73468784426563	6.96704445639393
5.86329154426887	6.04973072583993	5.80841391767029	6.18256644119021	6.2959101290288	6.22629261594353	6.39463022541774	6.51933594431691	6.55583780499198	6.00000730932962	6.01795862655187	6.164576252612	6.20420377297322	6.05997769230225	6.0389690301981
4.00029835476949	4.36201291948955	4.57060279002045	4.41411167623726	4.61705233200473	4.44141456930947	4.96736884610765	4.89168987421719	4.73710843033931	4.89497132606854	4.87671527819855	4.30879375230228	3.92536596576796	3.75389324988296	3.84197396212777
8.00079002938924	7.99383762364551	7.8528592979197	7.66236700317636	7.34862313776876	7.44074101702178	7.20721882441805	6.77461512905344	6.76824867397142	8.03728087802064	8.06883245780551	7.74687686749839	5.5465334212569	5.60825148905955	5.32101911791568
5.00261491777327	4.77505227043215	4.73283077989182	5.08292266796678	4.89320003635779	4.91766664909035	4.84110846139755	4.73103636506953	4.54139312882664	4.74937983645631	4.7176880487063	4.67899814533505	5.03693053665753	5.35500383936968	4.70829056487872
3.75746214524531	3.62750665774636	3.86874392421865	3.7219204784191	3.92204872184076	3.72959492959349	4.83437405322391	4.42687965216841	4.20716066566644	4.33347123892506	4.44343732642337	4.13054042708275	2.7909053971558	2.77493525139869	2.75799102481209
5.56553196293367	5.45497844106181	5.53829000744571	5.59984390157167	5.58873466822035	5.5107150489585	5.25520700865211	4.85635881456789	4.67337547980322	5.15347451501473	5.06268330908152	5.31420444196454	5.9611919421536	5.69561230442132	5.67308867480878
4.95367232043744	5.05289680776171	5.14687507911377	5.39493546185558	5.49140363615777	5.43650616077192	5.88841401698928	5.68460730093303	5.47596126997258	5.50586436595637	5.5275996099401	5.46750972802105	4.90676160183954	4.74619005185947	4.63429583768568
5.86643478923013	6.02075042463372	6.08059577636545	7.48685740126042	7.44092614222996	7.42470107942429	6.73436627393226	6.14844066732408	5.96221010492936	6.26987050409958	6.23010103078299	6.30897730677271	6.96607859077829	6.50174952071963	6.42009649846376
4.19732283943212	4.45139312000157	4.00709913235521	3.54780513429606	3.71072549356055	3.76982369383634	4.70729519642853	5.03597718842514	4.8053201905687	5.07192731701004	5.03977410548677	4.99966898347283	5.80459759514024	6.05188846889962	5.99636596519469
5.18104722550708	5.05034624303391	5.10360519112715	4.95952250828433	5.02197671687181	5.07959810060861	5.29008613456545	4.92295320343687	5.23541058742257	4.89643941767588	4.92717038195671	4.87160795178751	5.34803389484362	5.31403115237572	4.99888885681251
4.8205608404125	5.07774142885036	5.08889271550347	5.04360088571702	5.22416100990101	5.11902998758918	5.36347170296578	4.94275413990552	5.12881323105764	5.28049713225768	5.22716217101912	5.31591378967861	6.23118523418809	5.7043128094989	6.10282446995409
6.52740678765692	6.71468131819154	6.75317572332637	6.87859451827495	6.71315165143023	6.91665183871732	6.76169039564863	6.79333903722901	6.93322710061674	7.73563827797089	7.55425739954405	7.66723413047621	7.32420988816305	7.42131348310647	7.8031228974774
6.34664905637057	6.26526824973785	6.19332492741131	5.50940923732824	5.35174938399937	5.23610059922702	6.48090070258161	7.10699483413271	7.15022058122781	7.03781033227988	7.12115659457997	7.12515083162624	8.44176198898935	8.71788785810191	8.50732287991791
4.73655800253501	5.20305672796	5.32326027881001	5.19871471332784	5.33130574572543	5.43053417646266	5.88127357183029	5.94655610470209	5.79981046127035	5.64332230385497	5.67074795081559	5.76526218341657	6.84670375706092	6.69632021043482	6.88383104036403
6.22076317980003	6.41814726911467	6.61494925822816	7.02376923924194	7.09065229938993	7.20925689649095	6.97233671521173	7.0614037870036	7.41559743930909	7.48347495512043	7.26341140284737	7.44394976589852	6.79069190035125	6.76564338835782	7.1896871176718
6.5100174130747	6.52114064349008	6.4683498666529	6.23491754853237	6.32717864670531	6.43126233353637	6.44281826473527	6.69886644551693	6.62370344450649	6.62840793689658	6.5763212374403	6.53512022731034	6.28728152133889	6.19981571802048	6.26599815330112
5.06372811218859	5.10382255783424	5.12444606749574	4.87182585089342	4.92454962291281	4.97261861487215	5.01191825237798	4.75186190527294	4.97802741508356	5.35635077169469	5.33190463407854	5.26309143208198	4.37874485783403	4.03361272992268	4.15071573628844
4.4500956449693	4.38127729520548	4.03822409709815	4.17319706211248	4.29656390092832	3.89331471701123	4.10989691239479	4.24566300948505	4.03772291559013	4.33695009890216	4.42783930261583	4.37051857776075	3.74271910826449	3.54724793660731	3.58668081483501
