T10_1	T10_2	T10_3	T14_1	T14_2	T14_3	T20_1	T20_2	T20_3	T26_1	T26_2	T26_3	T24_1	T24_2	T24_3
5.17458022133025	5.05370358834499	4.999137447591	5.2253829167643	5.07346499980615	5.16112353587327	4.81761344254014	4.69459024365238	4.70255580727175	5.2534224499139	5.25595407781257	5.23010987768456	4.70599573662048	4.53322657763327	4.5349754590747
4.45538733104295	4.31606439739587	4.18278983037128	4.29910901547866	4.14473716431859	4.01074116511708	4.35870037137697	4.08906671223556	4.02998915758011	4.41597656499975	4.52728550460659	4.44153022704952	3.74130630223379	4.18980602397469	3.93092659553016
3.68745452914193	3.75267073460645	3.55738654758488	3.3993983053045	2.95963224387718	3.09893165035217	2.63288395670209	2.80694742577324	2.81578267963215	2.85806118252107	3.00020155894716	2.8379917134078	3.41304329124299	3.67141182331437	3.59111297837506
6.59405451545649	6.57734083073995	6.5314342305157	6.29695681810038	6.21683508188544	6.26680962026376	6.36130659880193	6.56590543670465	6.49378200925892	6.34859265009127	6.32926486045774	6.22142150583217	6.77473461347134	7.17256805402597	7.04486992237655
4.62037716834734	4.68250659892181	4.7474221059136	4.7410876308484	4.65539201881172	4.73648559703218	4.91425080877435	5.17503438911779	4.95826195063926	4.52071497864282	4.40245238499642	4.50176935093503	5.51991452386155	5.59856769980815	5.37234549894282
7.9688530326995	7.75070197578788	7.6591924152955	7.27655548934792	7.32631706867831	7.46697134712393	7.33843254417899	7.25588916543012	7.36820176017	7.55282601942601	7.51098125703667	7.50377876795267	6.51990742153101	6.55282784403319	6.72537668798398
5.8047967705702	5.99077056434774	5.74473879083555	6.17522036970013	6.30958470308538	6.23674354855001	6.46213724380646	6.57657384988723	6.56361009549082	6.02417046311419	6.04623878543378	6.21615604804462	6.0842859428089	5.98186662508701	5.96144893911219
3.87427554353189	4.28573472549221	4.4779241487154	4.36203651837118	4.56302814784561	4.37240609344134	4.848245661904	4.78222099480192	4.65693246541452	4.68115492587523	4.64335043389962	4.01422557312272	4.06820745821909	3.91458347945457	4.03501005288492
8.1363038627326	8.05757886353391	7.90509344387743	7.63920220224785	7.34145129434795	7.45260973863259	7.3325801209376	6.82781732335088	6.77989856232226	8.21520179389425	8.25245130137505	7.92298844260129	5.53698285067332	5.59980745429564	5.38566979379963
4.9148878375939	4.70555916990924	4.64855586632439	5.06183064270337	4.84618830463076	4.87721749649929	4.71246193519927	4.59964448322031	4.44052236961521	4.49949559369841	4.45434268100094	4.42116614588867	5.08690516975414	5.39373129660528	4.84936271833236
3.59888907022141	3.45148451843398	3.67528808131936	3.56038148408262	3.80756643676	3.60773454264364	4.70716303343885	4.26618633138817	4.11781371023346	3.99897608807418	4.12442906826911	3.80515190144915	2.75105515259342	2.69616541962826	2.62707295177016
5.48086122182148	5.37826395909683	5.47775011372704	5.5867437457707	5.57207401425433	5.47942637282802	5.17119474353053	4.74396451286681	4.58712571864039	4.99492864660281	4.88058524711444	5.20384180812063	5.8918466374038	5.67149216081331	5.67652269855058
