T10_1	T10_2	T10_3	T14_1	T14_2	T14_3	T20_1	T20_2	T20_3	T26_1	T26_2	T26_3	T24_1	T24_2	T24_3
5.23352810825228	5.11626639154851	5.13331580840038	5.20285109190899	5.10931897475029	5.19590803002821	5.05630332874066	4.87541182418541	4.80635617994201	5.49715099985512	5.49602187431184	5.46076044995244	4.18150730751787	3.8751953976042	3.83604560709984
4.50652850829205	4.37890005821338	4.35192431409528	4.27675131085073	4.18125436772879	4.05162468176291	4.62751240621329	4.292470358481	4.11377299876896	4.8024762469786	4.89236965249522	4.7977129821399	3.01601522248433	3.45466772096316	3.10048085810347
3.75922370493205	3.8502529593927	3.7879895623766	3.44376271399602	3.07149771619672	3.19191017580463	2.9384177270414	2.88418351399191	2.81076307313337	3.23963694332724	3.399713199145	3.16154332881359	2.62745742508124	2.85821300163261	2.70047256682344
6.61857359099949	6.63408017541967	6.63727957139887	6.24833399245178	6.22859280447746	6.27425899581026	6.45025766181543	6.60422472050427	6.54700229538298	6.45031016018025	6.42840834828236	6.31205962204274	6.62998609525126	7.05927662687281	6.9846486222205
4.67068457168786	4.74445240442511	4.87874711414376	4.71513817349803	4.68137740989102	4.77123162332076	5.13963549692374	5.3185647538651	5.04708996338214	4.88961731813157	4.78911840203724	4.85285665588222	5.14942168395193	5.17581115557646	4.87679205148669
7.85199250532582	7.73190370303019	7.69868199318997	7.27458091074686	7.35184035245278	7.48978403097837	7.35824070949526	7.25504197194478	7.40575719653072	7.56701535210251	7.51091950784912	7.51209180928988	6.33614993240074	6.34141865948362	6.60486695936109
5.84396377577961	6.06466663801524	5.87661821406351	6.14340656224477	6.30577872023688	6.24530027195915	6.53655682270915	6.61415951294081	6.62044950920462	6.15523931451104	6.16415842119783	6.30396896194733	5.85666649926771	5.64851174888337	5.64878874766093
3.93386973864206	4.34071970361154	4.6161802901238	4.33925969518389	4.59306932762674	4.41998909043047	5.08289032160095	4.95066455508392	4.7586203176889	5.02512299195854	4.99811831058379	4.39625698554329	3.40675800977292	3.13464776974827	3.22043242593101
7.99495571268413	8.0206324227719	7.93351759787601	7.63256317430561	7.36633528587803	7.46898802449086	7.35579668161147	6.87218234398591	6.83515738831696	8.20875083607172	8.23041058090343	7.89917037870323	5.17461913964009	5.17864600995839	4.89188113499541
4.96889207791994	4.76695059757549	4.7826153608591	5.02692971905295	4.87787178051661	4.91239928743494	4.95274301743482	4.78367309476526	4.55400183164628	4.87450047979814	4.8337469229657	4.78291027553361	4.63627868024781	4.91230883701099	4.2248358993519
3.67886122655132	3.5704009958186	3.88926228224354	3.61517743706637	3.86687089674542	3.67079343846834	4.94579125871753	4.46529708748218	4.20129353317953	4.44093605729041	4.5487134846003	4.20835564206496	1.96873553410445	1.85392420905576	1.72267760422829
5.54217520078017	5.46167853774228	5.60308907284895	5.55338050307898	5.58896208340046	5.51922182929636	5.37838323155426	4.91400192538398	4.69212569376389	5.29136308881743	5.18961090561678	5.4378837416218	5.6059558880539	5.26999112055131	5.26559929512199
4.91883757853627	5.05171494034332	5.20543591518524	5.3451045848015	5.48988728789047	5.44358934698738	6.02381779168196	5.76609919644415	5.52174361077871	5.65224749828262	5.66552372537679	5.59476150452224	4.49686962398315	4.2599598446762	4.14239750768766
5.84714521466517	6.03535975799717	6.15163674666448	7.45637923130321	7.45908936422214	7.45287012250046	6.87953745021013	6.23829101990038	6.01824805824295	6.42878160423807	6.3790853445823	6.45022217236656	6.63560963574128	6.10315683723454	6.0436873317125
4.13930617572873	4.4332947281099	4.03360888797594	3.4301573251467	3.64246649388235	3.71369482518941	4.81440789004538	5.10005191571987	4.82965013557665	5.20752764275486	5.16606009892141	5.11467739589842	5.4436407957382	5.64014684408799	5.60439826585828
5.15106639919539	5.0491068680264	5.16136459045541	4.90069077637412	5.01013638933122	5.07868441812109	5.41408789348736	4.98307824073151	5.27465027915684	5.02663918545208	5.05014559427584	4.98248866853996	4.9661794135733	4.86898133815665	4.54432643126135
4.78249888781048	5.07711432154814	5.14637397832195	4.9867302042884	5.21719096399513	5.11910260400842	5.4891450542845	5.00359450151148	5.16477453448069	5.42169542261752	5.35840115017504	5.43963510456312	5.88442318997906	5.27907479718457	5.71522239977768
6.5145380563034	6.73554725094516	6.82929225945018	6.84502472557674	6.72682911945699	6.94184096142939	6.90709053928541	6.89108883116349	7.00169844951001	7.90589853400017	7.71374896651023	7.81916217446641	6.99909215780155	7.03948219964372	7.45439368782668
6.33230827324106	6.28243563482585	6.26539128600072	5.46151942473271	5.34751188345788	5.23894376706406	6.62372567784947	7.20747285344718	7.22049095267484	7.20407466414633	7.27820895183026	7.27397155532635	8.12682780638342	8.34709591488213	8.1651626330197
4.69629634659698	5.20508357675907	5.38484604037113	5.14516875438801	5.32664685477667	5.43749951721771	6.0165677219063	6.03310167426647	5.8528075037639	5.79248440402024	5.81139036476996	5.89843586625093	6.51412939470622	6.30223351407337	6.51982842117537
6.20528153819563	6.43670519676325	6.69020785605382	6.99106047269649	7.10693842934855	7.23628971794869	7.11936259984061	7.1615214311286	7.48772769213115	7.65250956207941	7.42134743804491	7.59473816699112	6.45706682579681	6.37301779056534	6.83189595862003
6.4970150147582	6.54055494338479	6.54260340386196	6.19627914305626	6.33737281825755	6.4524258935785	6.58525335478804	6.79567010175743	6.6890865430653	6.79124408101692	6.72904718121616	6.67891364958126	5.94208428349128	5.79287148630772	5.88447025099331
5.03134053834328	5.103767395937	5.18259453890416	4.81081987260304	4.91010019312107	4.96888535213701	5.12872957542594	4.80536226672959	5.00890235334849	5.49938753143913	5.46563764402542	5.38549050399556	3.92056247017797	3.46293115244572	3.58973221227675
4.40125807269772	4.36069014553092	4.06600090343303	4.08900959924718	4.26012745423288	3.8449104478423	4.19052865937091	4.27398137094793	4.02060318384925	4.44458577382717	4.53243559959976	4.46104037554046	3.19288488351942	2.88417921494567	2.90160624413566
3.79630370333258	4.2363158869813	4.57979628825361	4.25669027718105	4.34722626182919	4.33695144379899	4.67683336094178	4.52293707106748	4.29572170231376	4.71998650339582	4.74749385222449	4.76600280375288	2.93001552569456	2.30876334763078	2.30920966366996
0.79183990402586	0.573868913817768	0.740503645679156	0.363498555558036	0.522876324839946	0.557489495644065	0.7672267987831	0.938544004599964	1.06131169595871	0.591099158790559	1.17717090457891	0.824930745292493	3.43845813982626	1.03268908883075	0.716073421706523
7.44255972109336	7.5834270245632	7.56381898539401	7.82205446563185	7.78245078489529	7.85336429255463	8.47530966622305	8.04254344152399	7.9202689771586	7.95169727258398	7.86981615073829	7.84166012377789	8.01071607058114	7.53544483472717	7.7299712639679
6.06887879567105	6.01764202472894	6.14512986074355	5.57986038526395	5.61449474874931	5.44531181591281	5.8189986104907	5.99912992783067	5.91200961074644	6.03689463697304	6.0385422815129	6.06521527707975	4.63773780654213	4.71080169586728	4.69583840332942
