T10_1	T10_2	T10_3	T14_1	T14_2	T14_3	T20_1	T20_2	T20_3	T26_1	T26_2	T26_3	T24_1	T24_2	T24_3
5.16565106763155	5.06164683896933	5.0297980685858	5.19253476687784	5.03462866061749	5.10385818325569	4.80437472996846	4.68958895002898	4.69609134122086	5.19716694533267	5.20298043480416	5.17414796684112	4.64319328144555	4.43143531387893	4.4300804028246
4.4085907730129	4.3115575364712	4.21449506390073	4.23908814252319	4.09715533491855	3.94422024782459	4.31064449267146	4.07662979854518	4.03155775148405	4.38588997350501	4.48767216310283	4.41450981512854	3.62145112059016	4.14011856664052	3.86400470428217
3.55514914548818	3.67743852364049	3.52793110986545	3.35743284296805	2.98122023900612	3.06484098834417	2.64043957931357	2.7104339882215	2.78613294026087	2.8700598590709	3.04234968149625	2.84584101138657	3.3209428961413	3.56489010269854	3.50078338315814
6.52807513993559	6.51311082951428	6.488177713159	6.21562349660889	6.14455591691881	6.1740651122172	6.32488626188301	6.5054591094084	6.44021048730334	6.35141683719453	6.3327271456273	6.21517573050017	6.85509718571209	7.35660544116867	7.25144800130658
4.60288807464318	4.69051582307725	4.77532872943063	4.70463160517488	4.60671112496327	4.67915683305243	4.88533521818814	5.13120874582137	4.93711605875059	4.5853566817465	4.49201504416775	4.56256951730482	5.61553155088758	5.73632304487991	5.47640230803118
7.8225121902855	7.63992391883596	7.58352389640838	7.24702370745869	7.2806900612706	7.40102836456968	7.28156721017023	7.17283811692751	7.2953347397079	7.51685281232536	7.46781426785974	7.45915491234282	6.45878473361746	6.51575438955848	6.71128450240492
5.74561965221033	5.94962715856605	5.72512696859358	6.121912635154	6.22603410353093	6.1495782832153	6.38510502607177	6.49818606573153	6.51377126374754	6.01745340719754	6.03019796866324	6.17123347324012	6.13501240572706	6.00557753447973	5.99621182312693
3.84843880586153	4.28270533439174	4.49174923292177	4.31062643025542	4.51196461051692	4.31821687606011	4.77741469750027	4.73807941574225	4.66785096888327	4.6277232456894	4.61202774408009	4.02835522442067	3.98115278581322	3.79454344737748	3.95037799023661
7.94770834834475	7.91671446971433	7.80746800537942	7.60008658724495	7.28912521699237	7.37453533774303	7.26724338696049	6.78731809923042	6.72471290953139	8.1530068171332	8.18054416772075	7.84149632673928	5.31854545140679	5.37852113194153	5.03028332785888
4.90104303564492	4.71590292678854	4.67903663905016	5.01513757616554	4.80305276962561	4.81997339377857	4.68692565270453	4.58912561349706	4.4458268238758	4.54930060808969	4.51676932433006	4.47476516525737	5.1241116566034	5.49374069300275	4.85181532072205
