T10_1	T10_2	T10_3	T14_1	T14_2	T14_3	T20_1	T20_2	T20_3	T26_1	T26_2	T26_3	T24_1	T24_2	T24_3
5.40438346687021	5.24885096649285	5.21853690573995	5.21444198312648	5.10669630264803	5.19590803002821	5.06280386123311	4.86732322753704	4.80379729519392	5.4343347813639	5.45669454779392	5.4043874013443	4.19353060008074	3.92580598930148	3.79426146256168
4.67738386690998	4.51148463315771	4.43714541143486	4.28834220206822	4.17863169562653	4.05162468176291	4.63401293870574	4.28438176183263	4.11121411402087	4.73966002848738	4.85304232597729	4.74133993353177	3.0280385150472	3.50527831266044	3.05869671356532
3.93007906354998	3.98283753433704	3.87321065971618	3.45535360521351	3.06887504409446	3.19191017580463	2.94491825953386	2.87609491734354	2.80820418838528	3.17682072483602	3.36038587262708	3.10517028020546	2.63948071764411	2.90882359332989	2.65868842228529
6.78942894961741	6.76666475036401	6.72250066873845	6.25992488366927	6.2259701323752	6.27425899581026	6.45675819430788	6.5961361238559	6.54444341063489	6.38749394168902	6.38908102176444	6.25568657343461	6.64200938781412	7.10988721857009	6.94286447768235
4.84153993030578	4.87703697936945	4.96396821148333	4.72672906471551	4.67875473778876	4.77123162332076	5.14613602941619	5.31047615721673	5.04453107863405	4.82680109964035	4.74979107551932	4.79648360727408	5.1614449765148	5.22642174727374	4.83500790694854
8.02284786394375	7.86448827797452	7.78390309052954	7.28617180196435	7.34921768035052	7.48978403097837	7.36474124198771	7.24695337529641	7.40319831178263	7.50419913361129	7.4715921813312	7.45571876068175	6.34817322496361	6.3920292511809	6.56308281482293
6.01481913439754	6.19725121295957	5.96183931140308	6.15499745346226	6.30315604813463	6.24530027195915	6.54305735520161	6.60607091629244	6.61789062445653	6.09242309601982	6.12483109467991	6.2475959133392	5.86868979183058	5.69912234058065	5.60700460312278
4.10472509725999	4.47330427855587	4.70140138746337	4.35085058640137	4.59044665552449	4.41998909043047	5.08939085409341	4.94257595843555	4.75606143294081	4.96230677346732	4.95879098406586	4.33988393693516	3.41878130233579	3.18525836144555	3.17864828139286
8.16581107130206	8.15321699771624	8.01873869521558	7.6441540655231	7.36371261377577	7.46898802449086	7.36229721410393	6.86409374733754	6.83259850356887	8.1459346175805	8.19108325438551	7.8427973300951	5.18664243220296	5.22925660165567	4.85009699045726
5.13974743653787	4.89953517251982	4.86783645819867	5.03852061027044	4.87524910841436	4.91239928743494	4.95924354992727	4.77558449811689	4.55144294689819	4.81168426130692	4.79441959644777	4.72653722692548	4.64830197281067	4.96291942870827	4.18305175481375
3.84971658516925	3.70298557076293	3.97448337958312	3.62676832828386	3.86424822464316	3.67079343846834	4.95229179120999	4.45720849083381	4.19873464843144	4.37811983879919	4.50938615808238	4.15198259345682	1.98075882666732	1.90453480075304	1.68089345969013
5.7130305593981	5.59426311268662	5.68831017018853	5.56497139429646	5.58633941129821	5.51922182929636	5.38488376404671	4.90591332873561	4.6895668090158	5.2285468703262	5.15028357909886	5.38151069301367	5.61797918061677	5.32060171224859	5.22381515058383
5.0896929371542	5.18429951528765	5.29065701252482	5.35669547601898	5.48726461578822	5.44358934698738	6.03031832417441	5.75801059979577	5.51918472603062	5.58943127979139	5.62619639885886	5.53838845591411	4.50889291654602	4.31057043637348	4.10061336314951
6.0180005732831	6.16794433294151	6.23685784400405	7.4679701225207	7.45646669211988	7.45287012250046	6.88603798270258	6.23020242325201	6.01568917349486	6.36596538574685	6.33975801806438	6.39384912375843	6.64763292830414	6.15376742893182	6.00190318717434
4.31016153434665	4.56587930305424	4.11882998531552	3.44174821636419	3.63984382178009	3.71369482518941	4.82090842253783	5.0919633190715	4.82709125082856	5.14471142426364	5.12673277240349	5.05830434729029	5.45566408830107	5.69075743578527	5.56261412132013
5.32192175781332	5.18169144297074	5.24658568779498	4.9122816675916	5.00751371722896	5.07868441812109	5.42058842597981	4.97498964408314	5.27209139440875	4.96382296696086	5.01081826775792	4.92611561993183	4.97820270613617	4.91959192985393	4.5025422867232
4.95335424642841	5.20969889649247	5.23159507566153	4.99832109550589	5.21456829189288	5.11910260400842	5.49564558677695	4.99550590486311	5.1622156497326	5.3588792041263	5.31907382365711	5.38326205595499	5.89644648254192	5.32968538888185	5.67343825523953
6.68539341492132	6.8681318258895	6.91451335678975	6.85661561679422	6.72420644735473	6.94184096142939	6.91359107177786	6.88300023451512	6.99913956476192	7.84308231550895	7.67442163999231	7.76278912585827	7.01111545036442	7.090092791341	7.41260954328852
6.50316363185899	6.41502020977018	6.3506123833403	5.4731103159502	5.34488921135563	5.23894376706406	6.63022621034192	7.1993842567988	7.21793206792675	7.14125844565511	7.23888162531234	7.21759850671821	8.13885109894629	8.39770650657941	8.12337848848155
4.8671517052149	5.33766815170341	5.4700671377107	5.1567596456055	5.32402418267441	5.43749951721771	6.02306825439875	6.0250130776181	5.85024861901581	5.72966818552902	5.77206303825203	5.8420628176428	6.52615268726909	6.35284410577065	6.47804427663721
6.37613689681356	6.56928977170759	6.77542895339339	7.00265136391398	7.1043157572463	7.23628971794869	7.12586313233307	7.15343283448023	7.48516880738306	7.58969334358819	7.38202011152699	7.53836511838299	6.46909011835967	6.42362838226262	6.79011181408187
6.66787037337613	6.67313951832912	6.62782450120154	6.20787003427374	6.3347501461553	6.4524258935785	6.59175388728049	6.78758150510906	6.68652765831721	6.7284278625257	6.68971985469824	6.62254060097313	5.95410757605414	5.843482078005	5.84268610645516
