T10ºC_1	T10ºC_2	T10ºC_3	T14ºC_1	T14ºC_2	T14ºC_3	T20ºC_1	T20ºC_2	T20ºC_3	T26ºC_1	T26ºC_2	T26ºC_3	T24ºC_1	T24ºC_2	T24ºC_3
37.622612	34.685635	35.097973	36.831062	34.519005	36.654236	33.273537	29.352507	27.980623	45.165554	45.130219	44.040546	18.14509	14.674052	14.281203
22.730043	20.805601	20.420189	19.383421	18.141909	16.582903	24.718382	19.59577	17.31287	27.905474	29.69956	27.813492	8.089302	10.963737	8.577046
13.540637	14.422536	13.813333	10.881177	8.406456	9.138201	7.665701	7.382879	7.016556	9.445564	10.553965	8.947864	6.17936	7.251166	6.500148
98.26281	99.324669	99.545181	76.021416	74.988258	77.399857	87.442192	97.290344	93.506989	87.445374	86.127876	79.454643	99.043205	133.368729	126.645203
25.46925	26.805412	29.420444	26.266247	25.658722	27.307619	35.252056	39.906857	33.061722	29.642954	27.648291	28.897177	35.491993	36.147179	29.380602
231.038986	212.586136	207.746735	154.834259	163.352005	179.742035	164.078308	152.751419	169.572357	189.626312	182.394638	182.542908	80.792526	81.08812	97.333664
57.439201	66.933968	58.754124	70.688644	79.109482	75.861725	92.83242	97.962624	98.390663	71.270805	71.712784	79.010307	57.947178	50.16161	50.171242
15.283147	20.262211	24.524984	20.241716	24.135241	21.406679	33.89241	30.924204	27.06995	32.562126	31.95829	21.057423	10.605627	8.782598	9.320662
255.106476	259.687439	244.470673	198.440567	165.001495	177.169693	163.800583	117.147499	114.179306	295.855896	300.331207	238.719131	36.117325	36.218277	29.689505
31.31739	27.226707	27.523945	32.60293	29.402599	30.114769	30.968788	27.544132	23.49044	29.333971	28.516933	27.529572	24.869036	30.112881	18.698309
12.807005	11.87949	14.81783	12.253971	14.589625	12.735586	30.819921	22.089626	18.39566	21.719757	23.404491	18.485929	3.914249	3.614821	3.300484
46.597324	44.068581	48.606895	46.960651	48.133255	45.861824	41.596298	30.148241	25.850597	39.161472	36.494595	43.347706	48.703579	38.585613	38.46833
30.249462	33.167881	36.89711	40.647778	44.938725	43.519478	65.065361	54.421288	45.942059	50.291668	50.756607	48.327133	22.578373	19.159126	17.659805
57.566006	65.58799	71.093056	175.628021	175.958252	175.201355	117.746262	75.494049	64.814651	86.150162	83.233093	87.440041	99.430023	68.743759	65.967674
17.622005	21.605021	16.37711	10.779044	12.487965	13.119991	28.13722	34.297985	28.436069	36.950645	35.903687	34.647453	43.52103	49.871609	48.651024
35.532478	33.107975	35.787022	29.871355	32.225624	33.793747	42.638592	31.626856	38.710426	32.596365	33.131821	31.613934	31.25856	29.221966	23.333429
27.521723	33.756989	35.417095	31.707016	37.198975	34.753891	44.915611	32.079828	35.871708	42.864025	41.024139	43.40036	59.072845	38.829327	52.535561
91.426346	106.561852	113.716064	114.962914	105.919846	122.942589	120.016632	118.692818	128.15078	239.835022	209.927734	225.840775	127.919479	131.551346	175.386475
80.577675	77.839775	76.925568	44.063721	40.71566	37.764107	98.614349	147.796967	149.136642	147.449249	155.224121	154.768875	279.523895	325.631378	287.050873
