T10_1	T10_2	T10_3	T14_1	T14_2	T14_3	T20_1	T20_2	T20_3	T26_1	T26_2	T26_3	T24_1	T24_2	T24_3
ostta01g00010	35.1163507079659	32.2136319863501	30.9808736934951	36.4108001239555	32.6717080251895	34.7810429782842	27.1998081498577	24.8947952075097	25.0381637733121	37.1450103718538	37.2120056469915	36.5335768765994	25.1003226563791	22.1545943555817	22.1826801211656
ostta01g00020	20.9384140578973	18.9188768626558	17.1612277414631	18.6861490194865	16.6884676071094	15.1195678846593	19.5163242332923	16.0189097262737	15.336071238862	20.3472239497639	22.0594389170644	20.7287040610718	12.3735104051805	17.2497655361391	14.2520006815283
ostta01g00030	11.8835165865568	12.4792725549579	10.7728078841528	9.55166166089483	6.77925632315299	7.56784066276377	5.20264672029581	5.99802309490224	6.04101140586284	6.25040297827546	7.00111775820671	6.15024022898617	9.65193253579752	11.741046046128	11.0512674386106
ostta01g00040	95.6069124244442	94.4941751477461	91.503383469186	77.6272132897873	73.3795998752144	76.0012318202854	81.2136818139598	93.7402409979706	89.1204123292028	80.4923455280105	79.4078729008618	73.616433849876	108.496019431224	143.264053322504	131.043540980251
ostta01g00050	23.5964323835815	24.6788127941578	25.8606461666214	25.7429670327461	24.200702024404	25.6577959115003	29.1534424067245	35.1277221099301	30.0874839101629	21.9546571434713	20.1480448303492	21.6551847525658	44.8838493505721	47.4548005649355	40.4225797021367
ostta01g00060	249.53233947985	214.374252010315	201.137392690108	154.046321650309	159.487493921596	175.922208608887	160.840911949529	151.84114552399	164.21510241058	186.770422674541	181.402444890177	180.494090972934	90.7672469335106	92.8853300759743	104.813264983368
ostta01g00070	54.9007901567329	62.5918759822608	52.6214672302035	71.2647594080434	78.3184567489272	74.4131155786107	87.1651897379826	94.4434210130468	93.589628239251	64.0812683805116	65.084443229998	73.3445998371513	66.8504247896632	62.2006120641149	61.3124673778965
ostta01g00080	13.6646988907828	18.504494800597	21.2838120638831	19.5638219168446	22.6378702018481	19.7121597622709	27.8049662413202	26.5164222554595	24.2276246015438	24.6547653666204	23.991237454531	15.1585470397093	15.7746116085557	14.0801981415034	15.3930233968259
ostta01g00090	280.365935201657	265.423746017984	238.701220374823	198.355859857382	161.179908591977	174.169736751781	160.185719438614	112.599866039774	108.888649185177	296.181766841573	303.954733932308	241.692958857111	45.4299187346241	47.4964572373871	40.8069181994203
ostta01g00100	29.1667597418009	25.0924257635124	24.0815719797306	32.401260488987	27.7639181543734	28.3892674999775	25.2175675665962	23.245489622171	20.713529829731	21.6195072066356	20.9225342848932	20.4241512509959	32.9868598933482	41.0411811274968	27.827278117358
