sample	group
T10_1	T10
T10_2	T10
T10_3	T10
T14_1	T14
T14_2	T14
T14_3	T14
T20_1	T20
T20_2	T20
T20_3	T20
T26_1	T26
T26_2	T26
T26_3	T26
