k4_temp10_1	k4_temp10_2	k4_temp10_3	k4_temp14_1	k4_temp14_2	k4_temp14_3	k4_temp20_1	k4_temp20_2	k4_temp20_3	k4_temp26_1	k4_temp26_2	k4_temp26_3
4.86732132849142	4.25958514534193	4.86433629295826	4.65729450457836	4.87536950723546	4.71506596111039	4.85221581432262	4.41705975159148	4.66761255872216	4.61375373008306	4.86937312246154	4.97068494474514
4.54814384462009	4.25958514534193	4.6056020245581	4.76918738464925	4.82645990675452	5.02626764940468	4.89549991205142	4.88856420252936	5.00045643108871	4.60622005739765	4.98904335312416	4.74636764648419
8.9766436037055	8.8958945260633	9.04320549565163	8.91133255253127	8.85493760733065	8.87531090789756	8.82075104478127	8.81801092270405	8.86118470402211	9.00535535277723	8.73620092341208	8.95982395211337
8.70040453918017	8.75004365959985	8.57138630922018	8.78724220480663	8.71415323562908	8.6821320717483	8.77512842765548	8.69716767078422	8.81091503675471	8.29616316062717	8.92576917827344	8.60295316024465
9.49166336221933	9.47917458339741	9.47243937064617	9.43992289329035	9.43913778568749	9.45603348583409	9.40571354550243	9.42988379194907	9.43864227170552	9.58577618695636	9.47818236513707	9.43535321174858
4.70426304653737	4.71330311278483	4.94799422200517	4.84264954659027	4.93426319628903	5.13010346038922	4.85221581432262	4.78902852897844	4.94879431126622	4.66541584990555	5.18974070336129	4.71914617774917
4.82258301372613	4.60638790886832	4.5926629688506	4.3895987213747	4.89921624918983	4.79306847311166	4.56108087298085	4.64118306100705	4.78168432543096	4.48000234119423	4.95270150606044	4.95909697046992
9.90837432768847	9.88322811422714	9.85792954974813	9.91954093335198	9.85035761922739	9.83515980660069	9.7334928514929	9.75975073645619	9.73778446591526	9.73658172489072	9.73566629489349	9.71828717502008
3.76463566451685	3.82348603053525	4.45645858525229	4.22666015024849	4.50763772273497	4.56009130113404	3.87402018464096	4.3036017018082	4.3063463158843	3.91143427872374	3.86155361800224	3.93563799764593
9.00444936227067	9.07420243918502	9.0198342237653	9.10184188612967	9.03052504934743	9.05095251358767	9.00000183849568	8.95895353042075	9.02159684581042	9.10627458622141	8.94855516587027	8.9481480559846
4.62831419330407	4.7913056247861	4.97815619251543	4.54858824513585	4.82645990675452	4.80566850989129	4.61386828734029	4.60970482953388	4.53375681198738	4.77698407895136	5.18348171288961	4.98218058358297
8.88646637775812	8.877491744678	8.90284585606486	8.89415740872314	8.87311353329509	8.78274928989708	8.74290445766974	8.77904037436293	8.73832795623658	8.71002964113971	8.60008650731541	8.71398447263339
4.2768418228027	4.42252371646813	4.4276037225801	4.70309819419148	4.87536950723546	4.53003406727786	4.76154545538255	4.78902852897844	4.60223654987014	4.65814784944151	5.22063471130707	4.92376389735765
5.02372288583399	4.73602318928491	5.00770046812944	4.91255155982043	5.04529450867777	5.17934697940908	4.95808444942944	4.87979399290162	4.80677530639379	4.65814784944151	4.87715047305326	5.36245266470113
4.62831419330407	4.37987937905964	4.78693178927266	4.49751406054158	5.00190191316439	4.86706905455543	4.39003533164463	4.56663610764199	4.60223654987014	4.20870031937684	4.56681035244111	4.73282111464625
4.373057138062	4.19545480792221	4.64373715344487	4.69178288096365	4.61233510140167	4.68809891351012	4.34910506758975	4.56663610764199	4.52370314732345	4.5365858695606	4.58591917538882	4.85039071102742
9.03295715060699	9.05851472688238	8.89627918546102	8.98328898640839	8.94289350143247	8.8909157965098	8.79192925849395	8.7630333204455	8.78904771384445	8.66405588590141	8.77418265742665	8.85352360051239
6.43381116914109	6.57522697738186	6.54979116158959	6.7825829780183	6.53453294979803	6.61838994169871	7.30028493934306	7.09967081631928	7.22646916810385	6.91753447826016	7.50038299070213	6.99358534685522
9.67073768670268	9.70216810263052	9.70663972327424	9.72442522681585	9.65716633484948	9.68682238043091	9.622481417645	9.59403951056774	9.63354293168784	9.82543927077575	9.63576772483938	9.54211906062165
4.58878582911743	4.701807473947	4.68089015186233	4.73652119572893	4.96847891162694	5.00457257830536	4.68959561350353	4.52224198828354	4.83143736062806	4.40383066070882	4.85369150022927	4.93563799764593
