k4_temp10_1	k4_temp10_2	k4_temp10_3	k4_temp14_1	k4_temp14_2	k4_temp14_3	k4_temp20_1	k4_temp20_2	k4_temp20_3	k4_temp26_1	k4_temp26_2	k4_temp26_3
4.96684364202527	4.46314580069471	4.78945592227993	4.739342917181	4.68450672625052	4.52304087583533	4.88093781349919	4.38197196415294	4.61814558318282	4.77061182687015	4.69949709660975	4.75976652469555
4.65349452321669	4.46577514438718	4.53486086647906	4.85286302039142	4.64227589022615	4.84031378765625	4.92040185349503	4.85140740649113	4.9488622072208	4.75457483991151	4.8127424077608	4.53103158468863
8.9785670968264	8.87419480765758	9.05599089730927	8.89246119920949	8.84805820067713	8.86455082930162	8.78951214788704	8.80470305037026	8.82781792153931	8.98391414193841	8.68458936245207	8.94810386230888
8.72551920201143	8.7480326187639	8.59989991806594	8.77938050702889	8.7133907390396	8.67662541204057	8.72950784985059	8.67249574774372	8.76252021427199	8.26891567566357	8.84831319853538	8.5725048365106
9.43400758610147	9.40999149158212	9.44127773367762	9.39457181233364	9.4155270621826	9.43127947138854	9.41222466203935	9.44383792158817	9.44540436878729	9.58147748454281	9.49570828904106	9.46857595048974
4.82338886030197	4.92571235024311	4.88731509013211	4.9301583645309	4.76596696030831	4.95863105093595	4.86776309789841	4.74683739600578	4.89195810890692	4.79358121967916	4.99836747242382	4.49363056080069
4.92045668801987	4.80920481547844	4.51661176068338	4.47118684985112	4.70646428092166	4.59932605248892	4.59088343197314	4.60668052324468	4.73281907353627	4.63926572615922	4.78464286369566	4.7494281457104
9.82138533079387	9.79304101580998	9.80255196290322	9.86305938983994	9.81834502730647	9.80389278195953	9.75877623379233	9.78529808162665	9.76507649086868	9.74173717050427	9.78991181111763	9.77138080167309
3.78266173919008	3.99012143102401	4.32918430109079	4.28602297753795	4.22514232249504	4.28543497590463	3.95035084409231	4.29427916487556	4.28235047119764	4.18565574762547	3.78403927307859	3.79085563037079
8.9923500150186	9.04088507774899	9.0227865384531	9.07643780333267	9.01983518074546	9.03694030843752	8.9775590806577	8.95236805038228	8.99748023996053	9.08851775831414	8.91279951340636	8.94746202945008
4.73494812000714	4.99807453408806	4.90832637692663	4.63262215133467	4.64374637324327	4.62105136710444	4.63792915554988	4.57209249384787	4.481694225661	4.92346666200237	5.00576617428978	4.76587187674123
8.90025709844485	8.86578848540927	8.92376537372091	8.8808909393559	8.86939464717423	8.77469926605443	8.7042758675881	8.75995311938618	8.69722409929467	8.68558023408231	8.53518968951892	8.69275888505054
4.37155385421894	4.62391431472792	4.34930716569294	4.78380362256354	4.67899459019053	4.33299826327678	4.79342023500498	4.75564834134896	4.55452524071141	4.82202392470946	5.05606131751432	4.71649145741806
5.15356347437893	4.95327706777683	4.95511217650915	5.00302667312082	4.88945300015562	5.01926296619225	4.96604115664684	4.83355105730353	4.74565988622203	4.77053336443819	4.67416140569514	5.12927485974046
4.71229386293167	4.57642674283796	4.70127561925647	4.57521540203687	4.79332222097071	4.65897473148448	4.42865144731069	4.5369265392507	4.55824087612246	4.38814305286826	4.41417603528062	4.53391340832322
4.45017130100353	4.38890242688832	4.55342585401468	4.7675622137659	4.39596585468952	4.47295344922909	4.39197711531416	4.53924528270251	4.4820437366813	4.72596950393289	4.44094543700824	4.6568770200256
9.03787891736673	9.03933643612977	8.91112426700819	8.96583217181374	8.93681423015591	8.88084158266478	8.75882172017459	8.74826718795307	8.75372363507514	8.64185267036177	8.71921133277932	8.83940609794904
