sample	temperature
sample01	temp10_1
sample02	temp10_2
sample03	temp10_3
sample04	temp14_1
sample05	temp14_2
sample06	temp14_3
sample07	temp20_1
sample08	temp20_2
sample09	temp20_3
sample10	temp26_1
sample11	temp26_2
sample12	temp26_3
