baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ostta06g00070	551.900888602513	0.208896418683259	0.132360424500484	1.57823926201215	0.114510653570802	0.165368315237729
ostta15g01110	3069.21746475927	-0.654043889744582	0.293836443284551	-2.22587737053162	0.0260223965225077	0.0441522353217842
ostta10g01190	1404.71755953282	-1.50071426123495	0.131429395837669	-11.4184064506277	3.38381492135207e-30	1.21184848398328e-28
ostta15g01440	708.272762180594	-0.440425899084297	0.179105951969849	-2.45902436094608	0.0139315164113002	0.0253192178743669
ostta02g04020	1530.48777616383	-0.18648691368742	0.0758802990323797	-2.45764600384406	0.013985095061698	0.0254105662761626
ostta06g00075	44.8357110261965	-0.747765697971428	0.260316599053891	-2.8725240752574	0.00407207050676421	0.00831557377134051
ostta01g00240	388.820887403234	-0.171225851945525	0.143397729330742	-1.19406250534552	0.232453518659686	0.305369869874793
ostta02g01610	2805.40032632934	-0.166943888314513	0.0828176568012505	-2.0158006729791	0.0438208231719678	0.0704220567812877
ostta01g00530	173.146750563918	0.389271273041595	0.179118812344758	2.17325733654568	0.029760954569943	0.0497791261073861
ostta14g02700	1636.68384831853	-0.489615731489071	0.0767887758246003	-6.37613669747052	1.81610839642275e-10	1.10465513890349e-09
ostta04g02010	1175.72504578473	-0.319755133521966	0.127098279469441	-2.51581008694022	0.0118759156450677	0.0219476772374725
ostta02g03290	559.67385886168	0.335486533785159	0.128258021995048	2.61571579357517	0.00890406370481395	0.0169638482705886
ostta03g05830	418.982448753932	0.528987626493488	0.115979957635974	4.56102620897502	5.09042261133975e-06	1.70213782257015e-05
ostta14g00960	958.622473598479	0.642479111908429	0.0965808713649687	6.65223975336244	2.88665955762294e-11	1.93217107856963e-10
ostta03g00710	954.257782588243	-0.449554930182155	0.0922421604941368	-4.87363834253134	1.09561481406226e-06	4.03304127520326e-06
ostta13g02060	1660.8982536471	-0.224767710744517	0.0976031277840882	-2.30287405585746	0.0212859302749482	0.0369586247456283
ostta03g00240	9085.05343615355	-0.0807619663563102	0.157282838539685	-0.513482380570926	0.607613932643331	0.674598461506373
ostta14g00630	2070.93747019152	1.3097186457901	0.125773291523395	10.4133288548505	2.15549859338187e-25	5.50658040655955e-24
ostta02g03465	818.297573326556	0.0180868796177989	0.0908799337946998	0.199019506975628	0.842247485458247	0.876083703657981
ostta20g00290	1506.87676697151	0.414902174025379	0.0877841245810211	4.72639188470168	2.28544385946164e-06	8.0346980453734e-06
ostta14g01610	455.33414550309	1.10420950969195	0.196567699459489	5.61745145681738	1.93794594863915e-08	9.1343282597604e-08
ostta03g04400	1528.7768048115	0.464523892394993	0.123193806034219	3.77067571291663	0.00016280612215025	0.000430702837473081
ostta06g04170	2068.33249634339	0.458238760156359	0.0878411478585656	5.21667545708961	1.8216302000083e-07	7.44188371687826e-07
ostta02g03920	579.110325540692	0.435600306241031	0.111750853050002	3.89795956229635	9.70066098799473e-05	0.000267527404865029
ostta11g01220	512.424459339818	0.0706633694719973	0.114436762063798	0.617488368227362	0.536912651141119	0.611775778546845
ostta08g03580	365.571639435846	-0.670869413929361	0.146807561718572	-4.56971974792014	4.88376847153576e-06	1.63660697708133e-05
ostta15g02790	836.522629526942	-0.407008759784403	0.0956816379769131	-4.25378127287714	2.10190622559552e-05	6.40008315969967e-05
ostta04g01660	2385.69879123264	-0.883736703534563	0.0874662097574172	-10.1037498479191	5.31693555659995e-24	1.2127676817197e-22
ostta15g02795	297.869313024885	0.630681127479773	0.165978587085243	3.79977404649112	0.000144828077370225	0.000387692066002585
ostta05g02235	237.260115492645	0.291402542949436	0.160863635501095	1.81148798509811	0.0700653472533232	0.106734410922176
ostta05g02230	340.59846905943	-0.189017827231704	0.137923799740157	-1.37045113017337	0.170546120637688	0.234325110894091
ostta05g03010	139.513908780076	0.628745850627096	0.201405957495047	3.12178377664204	0.00179758910171331	0.00392947030106413
ostta05g03540	1222.7984540533	0.259307444327463	0.127041559131165	2.04112296874237	0.0412386058877568	0.0666675014915396
ostta18g01730	403.478910825375	0.0326847266382825	0.119039038144532	0.274571494761224	0.783645468770091	0.826797752292673
ostta18g01735	732.024608452654	-0.0854861745808987	0.147183076910582	-0.580815242997223	0.561364980637725	0.634557700827068
ostta18g01880	78701.3928572246	0.0948229359536876	0.109424527036484	0.86656016271445	0.38618304891141	0.468308051717887
ostta15g00790	1113.97345956591	-0.597189178364486	0.0970148615601758	-6.15564634902937	7.47719105537411e-10	4.25428301769764e-09
ostta15g00240	2618.9978300341	-0.000597980792412448	0.10772835350642	-0.00555082086515705	0.995571108475469	0.996611412664053
ostta08g03360	749.118332281692	-0.0722319543431805	0.088299852369917	-0.818030295685854	0.413339888432849	0.494974516398337
ostta07g01300	45.2737805092441	-0.971926528589669	0.276541280778737	-3.51458026755621	0.000440449540869494	0.00108053946261966
ostta15g02860	6105.85213649484	-0.229223381669006	0.0803679486815732	-2.85217409961793	0.00434213116733306	0.00880838890059307
ostta19g00270	2861.79203479898	-0.770939805114676	0.0857968483457121	-8.9856424796425	2.57226995187117e-19	4.00688555104485e-18
ostta10g00960	506.937554204042	-0.189845696608069	0.125760647419958	-1.50957951078376	0.131150752754382	0.186136920205479
ostta07g04150	899.336494850858	0.0695127836768925	0.0850488298901743	0.817327925224322	0.413741052329855	0.495305572760955
ostta04g01590	146.092782834684	0.0966640084670729	0.184379774559752	0.524265791613424	0.600093686368196	0.668768069263611
ostta02g00870	3451.96693897877	-0.121109819522273	0.0962243120310798	-1.25861974968608	0.2081677100103	0.277992216330187
ostta09g00810	8501.53378070751	-0.0443376883258844	0.114005975164981	-0.388906706527636	0.697345160872104	0.75358901761475
ostta08g02180	2169.83307978216	-0.499609938074894	0.152762958264686	-3.2704913792599	0.00107360814478575	0.00245103748038069
ostta01g01110	2666.58428506444	-0.54707577598716	0.072510714240848	-7.54475778807004	4.53128868364461e-14	4.25585741071719e-13
ostta18g00930	3096.83075922932	0.178403013062813	0.097110233538262	1.83711856683488	0.0661923937914843	0.101479997203028
ostta18g00280	821.740421797259	-0.025140815273101	0.104955795813667	-0.239537179230528	0.81068907055936	0.849251098519264
