baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ostta06g00070	551.900888602513	0.338988462496288	0.131847958263509	2.57105583553134	0.0101388978851019	0.0174616884025666
ostta15g01110	3069.21746475927	0.637035702374429	0.293477279134275	2.17064743224284	0.0299578336938991	0.0470871282670309
ostta10g01190	1404.71755953282	-1.38962854468947	0.131024390545243	-10.6058768058885	2.79826817359585e-26	5.23071397132648e-25
ostta15g01440	708.272762180594	-0.86036743157501	0.179664274720706	-4.78875075700208	1.6782276430318e-06	5.20937086115662e-06
ostta02g04020	1530.48777616383	-0.472268117178812	0.0762067617749259	-6.19719439822992	5.74784931923471e-10	2.72427440832497e-09
ostta06g00075	44.8357110261965	-1.16654231989673	0.266410260547719	-4.37874396240747	1.19365268020325e-05	3.30975186001364e-05
ostta01g00240	388.820887403234	0.110353142421549	0.142175663736191	0.776174624556783	0.43764588671394	0.503870757262285
ostta02g01610	2805.40032632934	-0.28728351869816	0.0828388885037869	-3.46797891530169	0.000524388430865424	0.00113336518165612
ostta01g00530	173.146750563918	0.756579400798504	0.176959732620736	4.27543254950561	1.90766551842388e-05	5.15890915074123e-05
ostta14g02700	1636.68384831853	-0.38204228949134	0.0764454304020204	-4.99758177149647	5.80537237842355e-07	1.92191679949193e-06
ostta04g02010	1175.72504578473	0.260105544501963	0.126329134602693	2.05895136794848	0.0394988974882231	0.060483426643305
ostta02g03290	559.67385886168	0.588728772937115	0.127494646426999	4.61767446270152	3.88064390871171e-06	1.14919841253348e-05
ostta03g05830	418.982448753932	0.271716926458399	0.11654917352196	2.33135009238998	0.0197349068618837	0.0322628682144789
ostta14g00960	958.622473598479	0.563560274315738	0.0965538400449281	5.83674635885537	5.323003368638e-09	2.28383909337827e-08
ostta03g00710	954.257782588243	-1.01802931905625	0.0934878693448755	-10.8894268977374	1.29452318288776e-27	2.60399623980363e-26
ostta13g02060	1660.8982536471	0.111999986284012	0.0971512774724724	1.15284110716658	0.248975608385741	0.311636299635525
ostta03g00240	9085.05343615355	0.464133951840181	0.157204247731511	2.95242627688328	0.00315287347251542	0.00593846701729127
ostta14g00630	2070.93747019152	0.933104463347825	0.125943773513231	7.40889713972081	1.27354031498412e-13	8.73024416282493e-13
ostta02g03465	818.297573326556	-0.114639683147284	0.0909734040819125	-1.26014503144306	0.207617048042689	0.266038631700245
ostta20g00290	1506.87676697151	0.0658513088552068	0.0881219398342631	0.747274844142763	0.454897674028647	0.520970677488875
ostta14g01610	455.33414550309	0.668961197146189	0.197084561660565	3.39428513075685	0.000688080116380406	0.00145675304197222
ostta03g04400	1528.7768048115	0.32406287086475	0.12323505413898	2.62963223515351	0.0085477281499316	0.0148919728440727
ostta06g04170	2068.33249634339	0.804950162866938	0.0873696338735333	9.21315710252484	3.16671050616497e-20	3.86459702535801e-19
ostta02g03920	579.110325540692	0.101743523772272	0.112372170660802	0.905415666298618	0.365245219210417	0.432335881902979
ostta11g01220	512.424459339818	-0.0828270283746715	0.114623902818324	-0.722598221995199	0.469926760915876	0.536020046980098
ostta08g03580	365.571639435846	0.607847990849144	0.142264365743747	4.27266510254596	1.93150440552209e-05	5.21785328301772e-05
ostta15g02790	836.522629526942	-0.29719769406691	0.0951493117284631	-3.12348758670007	0.00178721403871222	0.00354024512605077
ostta04g01660	2385.69879123264	-0.795219955568473	0.0872739577345643	-9.11176685703954	8.10510719600323e-20	9.52723029910563e-19
ostta15g02795	297.869313024885	0.760153629303321	0.165228586513475	4.60061812149755	4.21239065455744e-06	1.24120576611027e-05
ostta05g02235	237.260115492645	0.459311593172403	0.1597909342326	2.87445339360621	0.00404727498527425	0.00748511474110566
ostta05g02230	340.59846905943	0.380798402160889	0.13551392274664	2.81003157788324	0.00495366394026227	0.0090177863273563
ostta05g03010	139.513908780076	0.557701425960901	0.201273412401406	2.77086486141875	0.00559076247036961	0.0100817890759794
ostta05g03540	1222.7984540533	0.419803119283671	0.126773516419656	3.31144178326651	0.000928165501423654	0.00192203739608508
ostta18g01730	403.478910825375	0.115049157532591	0.118350257467095	0.972107370062779	0.330997136002352	0.397736288855758
