k4_temp10_1	k4_temp10_2	k4_temp10_3	k4_temp14_1	k4_temp14_2	k4_temp14_3	k4_temp20_1	k4_temp20_2	k4_temp20_3	k4_temp24_1	k4_temp24_2	k4_temp24_3	k4_temp26_1	k4_temp26_2	k4_temp26_3
6.01160476754079	5.81956364522988	5.91450647558924	5.86316385031253	5.87123508339254	5.79540686628475	5.87987496605174	5.68605108917568	5.77615873825706	5.69373143074393	5.79892579886295	6.05373022828153	5.81344919421171	5.74158016053789	5.77544785172815
8.92609948127335	8.84085295540381	8.98721184352522	8.8456666463015	8.80791409666744	8.83033415783326	8.76712473526154	8.77527999291033	8.79834206412316	8.74836123644683	8.82632455444628	8.63183897213093	8.94130526134615	8.67919548663391	8.90045346199511
8.63660368280078	8.67711682326521	8.5264076621418	8.70576782979394	8.65682551865515	8.60693519199526	8.69953954024141	8.61814855483755	8.7270021491853	8.64452295164704	8.61773189442129	8.44808175195438	8.26221798548471	8.83253311140303	8.52286897388971
9.39885536524537	9.3670158086515	9.39786326666627	9.32321697687311	9.35550194920324	9.36956990317374	9.30041017020563	9.34130609321312	9.33447673777138	9.28880743168248	9.4144156895541	9.30195601464825	9.48513475802188	9.3773365007738	9.3472166307435
5.99340484691715	5.9333819912637	5.80040229390756	5.76459960099224	5.88238683080515	5.83015994115704	5.75688938148739	5.77589256933339	5.8255913511777	5.80667014376622	5.7782923164579	5.97386950085002	5.76243824365715	5.78377804629382	5.76930201606524
9.80515720231939	9.75855014649373	9.76990497701769	9.80417727691332	9.76549640842563	9.7460860440284	9.62285071861642	9.66172551859786	9.6325307423187	9.53782842316239	9.53845900641887	9.32428728978977	9.628139985624	9.62060026025948	9.6312961147532
8.92128963690813	8.97570236110406	8.95970790353537	9.00287022937552	8.9592406511626	8.98115085358491	8.90922653129477	8.87839211835684	8.93080378147721	8.82883965329459	8.85866393833852	8.63509071186565	9.01374691210356	8.84709786995687	8.87273875714032
5.91822322214283	6.00178786952352	5.96605036819522	5.82174179348346	5.84867019775454	5.83587178156451	5.7781270709655	5.76276693735928	5.72096355947566	5.7338312825076	5.74039365541512	6.07302445697424	5.87971911159906	5.90692788311809	5.78156768306191
8.81703920025083	8.79093478119755	8.83910568667976	8.81664170601379	8.81375720676184	8.72949690231081	8.65999425190855	8.71059207927954	8.66036828909944	8.55645827132993	8.68974393023341	8.52371368280626	8.63468562173096	8.52638778038497	8.64215830603913
5.79756986807392	5.87075074531718	5.73709225114572	5.88119951619124	5.87123508339254	5.71711531227804	5.84003071779541	5.83979122776374	5.7488243991477	5.66636710911124	5.7361207383125	5.67887052845618	5.83103192757841	5.92761178732484	5.75070625522829
6.07788331836347	5.98075670667135	5.97979457748483	5.96814981333352	5.95284905483878	6.01775542773436	5.92818415382405	5.88087373642793	5.83676285485784	5.86401739571071	5.99052213757915	6.09206447268825	5.83103192757841	5.74546760855931	5.99678815067538
5.82869005728097	5.80049158553786	5.82090441867872	5.87671164699807	5.75471569599509	5.78363441349144	5.67623620090462	5.74507873437901	5.71693927230021	5.63847529141945	5.66597979474373	5.46203231430517	5.78366108500998	5.60705722538003	5.71278181759877
8.94813877486517	8.96448729799782	8.83595759559611	8.89426301519736	8.86249078911823	8.82027330085422	8.7032498365945	8.68469552655026	8.70428317658006	8.62389620393694	8.65106579593638	8.34064672561774	8.59015207481214	8.68781842109755	8.78014198659243
6.86422255513585	6.95651674910664	6.89462456455813	7.06853717367781	6.86393545966848	6.93526520722048	7.45564500981518	7.29555870132653	7.39267182668389	7.42475806882777	7.45768228180414	7.70538592643725	7.15942712756946	7.58123517784919	7.16783618960884
9.55489479970202	9.57409335257459	9.59918979259745	9.60094454055579	9.54217488992385	9.56168898430034	9.49463766056752	9.4735602021748	9.50717206044425	9.51720449765933	9.55160563142665	9.41030842137706	9.70055345144718	9.5139642971303	9.43584257850098
6.01160476754079	6.03481388722796	6.04226076067978	5.93830844704639	6.04506733580733	6.05252049907212	5.9058405893882	5.9558536607827	5.90911201021574	6.04142771323744	5.92067310232767	5.97386950085002	5.93768318323653	5.89297236189992	5.97023433762518
6.08649516547569	6.01426122948762	6.18359065369199	5.93830844704639	6.12707072927468	6.04760496811285	5.94393502560044	5.92475580422002	5.90557925666792	6.09717428446729	5.99410654641816	6.36683926761155	5.98296167093529	6.13157669640233	6.11786638091891
7.29992346572753	7.29510177211374	7.26225091384446	7.15825026079868	7.27726700531789	7.32292593880168	7.21571669794998	7.26015144983555	7.30144158703861	7.22952519058208	7.21644635171736	7.20802303469461	6.94179630887531	7.3022013902864	7.29748049787935
9.36250195098767	9.31708365742604	9.34347880382553	9.26724957964339	9.4018184585535	9.34922224379491	9.30285767773082	9.37911631950422	9.28667884338305	9.252027162151	9.29514881188586	9.28756309673356	9.10369609438936	9.33404649563377	9.33111841905531
6.06050411625809	6.08692184068513	6.11465290177262	6.01791540265623	6.07939881260054	6.02777393015718	5.93134808718732	5.87681761597276	5.85885023012045	5.89971763748081	5.86304162283874	5.99425215872405	5.93226184605873	5.93444117782978	5.99151627011622
7.7780799630133	7.67384318413292	7.73339661676229	7.6830551047522	7.62169894083921	7.61162514972885	7.58795455479148	7.72510041506195	7.60595980554478	7.51968129149983	7.60337105665062	7.60283753295758	7.55942167187592	7.87125959432271	7.69972553537271
5.97032787092644	5.9333819912637	5.99791922953091	5.88119951619124	5.84297352325921	5.8070842651523	5.86671516779724	5.91291945036699	5.85152519452607	5.83562803198499	5.71890172702298	5.54719743212855	5.8397437697781	5.80255933131059	5.76312995470634
5.96566793292443	5.95078932940597	6.0895147684861	5.88119951619124	5.95284905483878	5.92967214727257	5.80596742755833	5.83143278095957	5.88060528480144	5.75995999586307	5.83133902391783	5.99425215872405	5.78366108500998	5.74546760855931	5.87038702435115
5.78175499701624	5.78116464980721	5.84111993918038	6.01791540265623	6.01497695725131	5.98727639122481	6.19100471996024	6.05971151579858	6.04698861356736	6.16722270642707	6.19124566505354	6.20131871142433	6.15575835859975	5.76091376024264	5.83551115358484
7.52424227029913	7.43010730153914	7.58679498991789	7.77644941366218	7.9267677671634	7.91150448269893	8.10939471577787	8.16377228300837	8.10478902299959	8.3905361621049	8.30541936823401	8.45913209413486	8.46279244472328	7.73596937345259	8.05245240663469
6.14125489793793	6.03888957745717	6.25316697783332	6.28173276505672	6.25703874758918	6.27072744715311	6.38355780119118	6.43573210953272	6.34450749706835	6.42589523510597	6.42171655581418	6.5976021180239	6.30798727633414	6.45747742911554	6.47227585873612
6.28288523523107	6.28525697369396	6.22650623738709	6.06602432805561	6.18678209110322	6.188249988078	6.04379617103233	6.03079148765767	6.07557097254914	6.1737202226078	6.07418580397714	6.382394105681	6.09881132473926	6.1668108298627	6.01768546340704
5.87414954383264	5.85696935991592	5.90972824247608	5.84029823425102	5.73639895092961	5.85287316795069	5.73171142111941	5.69067817294809	5.67191716381483	5.6148142840961	5.8433090972998	5.75248188626738	5.90207554413339	5.70611486436405	5.62022287499815
5.87911349250779	5.91576248882886	5.75318144177846	5.67957737948536	5.73639895092961	5.71091365210951	5.6837569550238	5.69988818156247	5.6677539144551	5.6148142840961	5.62497806976199	5.67887052845618	5.7377960325627	5.62404491610321	5.60650329434267
