k4_temp10_1	k4_temp10_2	k4_temp10_3	k4_temp14_1	k4_temp14_2	k4_temp14_3	k4_temp20_1	k4_temp20_2	k4_temp20_3	k4_temp26_1	k4_temp26_2	k4_temp26_3
4.83901282360692	4.23127664045743	4.83602778807376	4.62898599969386	4.84706100235096	4.68675745622589	4.82390730943812	4.38875124670698	4.63930405383766	4.58544522519856	4.84106461757704	4.94237643986064
4.51983533973559	4.23127664045743	4.5772935196736	4.74087887976475	4.79815140187002	4.99795914452018	4.86719140716692	4.86025569764486	4.97214792620421	4.57791155251315	4.96073484823966	4.71805914159969
8.948335098821	8.8675860211788	9.01489699076713	8.88302404764677	8.82662910244615	8.84700240301306	8.79244253989677	8.78970241781955	8.83287619913761	8.97704684789273	8.70789241852758	8.93151544722887
8.67209603429567	8.72173515471535	8.54307780433568	8.75893369992212	8.68584473074458	8.6538235668638	8.74681992277098	8.66885916589972	8.78260653187021	8.26785465574267	8.89746067338894	8.57464465536015
9.46335485733483	9.45086607851291	9.44413086576168	9.41161438840584	9.41082928080299	9.42772498094958	9.37740504061793	9.40157528706457	9.41033376682102	9.55746768207186	9.44987386025257	9.40704470686408
4.67595454165287	4.68499460790033	4.91968571712067	4.81434104170577	4.90595469140453	5.10179495550472	4.82390730943812	4.76072002409394	4.92048580638172	4.63710734502105	5.16143219847679	4.69083767286467
4.79427450884163	4.57807940398382	4.56435446396609	4.3612902164902	4.87090774430533	4.76475996822716	4.53277236809635	4.61287455612255	4.75337582054646	4.45169383630973	4.92439300117594	4.93078846558542
9.88006582280397	9.85491960934264	9.82962104486363	9.89123242846748	9.82204911434289	9.80685130171619	9.7051843466084	9.73144223157169	9.70947596103075	9.70827322000622	9.707357790009	9.68997867013558
3.73632715963235	3.79517752565075	4.42815008036779	4.19835164536399	4.47932921785047	4.53178279624954	3.84571167975646	4.2752931969237	4.2780378109998	3.88312577383924	3.83324511311774	3.90732949276143
8.97614085738617	9.04589393430052	8.9915257188808	9.07353338124517	9.00221654446293	9.02264400870317	8.97169333361118	8.93064502553625	8.99328834092593	9.07796608133691	8.92024666098577	8.9198395511001
4.60000568841957	4.7629971199016	4.94984768763093	4.52027974025135	4.79815140187002	4.77736000500679	4.58555978245579	4.58139632464938	4.50544830710288	4.74867557406686	5.15517320800511	4.95387207869847
8.85815787287362	8.8491832397935	8.87453735118036	8.86584890383864	8.84480502841059	8.75444078501258	8.71459595278524	8.75073186947843	8.71001945135208	8.68172113625521	8.57177800243091	8.68567596774889
4.2485333179182	4.39421521158363	4.3992952176956	4.67478968930698	4.84706100235096	4.50172556239336	4.73323695049805	4.76072002409394	4.57392804498564	4.62983934455701	5.19232620642257	4.89545539247314
4.99541438094949	4.70771468440041	4.97939196324494	4.88424305493593	5.01698600379327	5.15103847452458	4.92977594454494	4.85148548801712	4.77846680150929	4.62983934455701	4.84884196816876	5.33414415981663
4.60000568841957	4.35157087417514	4.75862328438816	4.46920555565708	4.97359340827989	4.83876054967093	4.36172682676013	4.53832760275749	4.57392804498564	4.18039181449234	4.53850184755661	4.70451260976175
4.3447486331775	4.16714630303771	4.61542864856037	4.66347437607915	4.58402659651717	4.65979040862562	4.32079656270525	4.53832760275749	4.49539464243895	4.5082773646761	4.55761067050432	4.82208220614292
9.00464864572249	9.03020622199788	8.86797068057652	8.95498048152389	8.91458499654797	8.8626072916253	8.76362075360944	8.734724815561	8.76073920895995	8.63574738101691	8.74587415254215	8.82521509562789
6.40550266425659	6.54691847249736	6.52148265670509	6.7542744731338	6.50622444491353	6.59008143681421	7.27197643445856	7.07136231143478	7.19816066321935	6.88922597337566	7.47207448581763	6.96527684197072
9.64242918181818	9.67385959774601	9.67833121838974	9.69611672193135	9.62885782996498	9.65851387554641	9.5941729127605	9.56573100568325	9.60523442680334	9.79713076589125	9.60745921995488	9.51381055573715
4.56047732423293	4.6734989690625	4.65258164697783	4.70821269084443	4.94017040674244	4.97626407342087	4.66128710861903	4.49393348339904	4.80312885574356	4.37552215582432	4.82538299534477	4.90732949276143
4.83901282360692	4.84726603679921	5.10978860050062	4.81434104170577	5.19755824943509	5.21727217292466	4.88133558948719	5.00963332168308	4.93543614784769	4.88312577383924	5.12986211947592	5.2894751104829
5.01504318769842	4.79517752565075	5.3846484417312	4.81434104170577	5.34956134288015	5.20799435933665	4.96340672242622	4.94514459523137	4.92798034292864	4.98347629917171	5.53850184755661	5.53118100687619
7.012604142247	7.01605371453982	7.00115977832718	6.86954654372923	7.03292754766229	7.08921688942526	6.96340672242622	7.01356973624225	7.08035714316011	6.59293976174548	7.13464189758925	7.1186992125011
