k4_temp10_1	k4_temp10_2	k4_temp10_3	k4_temp14_1	k4_temp14_2	k4_temp14_3	k4_temp20_1	k4_temp20_2	k4_temp20_3	k4_temp26_1	k4_temp26_2	k4_temp26_3
5.68822223566302	5.42719420002975	5.60845571152373	5.55167601789195	5.53726772859754	5.4324283787476	5.62363341747477	5.35232767554607	5.48058007320091	5.56345290222139	5.56441134724101	5.58664857034283
5.51565956494712	5.42719420002975	5.45884234518476	5.61228434567167	5.50647849381013	5.62946852677751	5.64873431101148	5.61592159520108	5.67641139040481	5.55962177224665	5.63585125373697	5.44764009613483
9.04647164418281	8.95871674382808	9.10556607135428	8.96308616932655	8.91315987289364	8.92867759860331	8.86568572838445	8.8711832249753	8.90168431392904	9.04900237838209	8.73315808732983	8.98092709399581
8.78291537509036	8.82021235158532	8.65322235712266	8.84464464792812	8.77753587774954	8.7425924993996	8.82212277614435	8.75557946207447	8.85349630417269	8.37915013936498	8.91460921036432	8.63779990766779
9.54325854082188	9.51879159439358	9.52170136714495	9.47221885535416	9.48047290665123	9.49286417672358	9.42910798849063	9.46214411676749	9.45963560748755	9.60847321988222	9.44846725495293	9.44257756066963
5.59786318172926	5.64527385831551	5.65924684268659	5.65325083270862	5.57485703775417	5.69865033843545	5.62363341747477	5.55710815292073	5.64479481304409	5.58999100257764	5.7609893584012	5.43133911844462
5.66297520926168	5.59066306385608	5.45166082702559	5.41550290037596	5.55242060291158	5.4803330353714	5.46315204187358	5.47285798696854	5.54558291358227	5.49690560934344	5.61390220936923	5.57926575082089
9.94920218948048	9.91133342099298	9.89826195941751	9.939264800462	9.8832316247056	9.8642169111121	9.74804113981563	9.78383986960504	9.75128870139995	9.75504435419659	9.69939494629345	9.71913806819563
5.1667767964663	5.25078372469875	5.37782045179074	5.33872420409339	5.31551498364698	5.34027263956585	5.14271546536379	5.29464303713827	5.28955325292801	5.24847870774468	5.06064013571688	5.01680596601086
9.07312478184643	9.12895376166499	9.08302217502062	9.14578012219269	9.08295720291196	9.09861979018359	9.03742203665464	9.0065238608907	9.05590141557163	9.14567260168983	8.93648662971401	8.96965092114239
