k4_temp10_1	k4_temp10_2	k4_temp10_3	k4_temp14_1	k4_temp14_2	k4_temp14_3	k4_temp20_1	k4_temp20_2	k4_temp20_3	k4_temp26_1	k4_temp26_2	k4_temp26_3
4.9552232060519	4.46066868861183	4.81212665382776	4.73469672206326	4.68501904962111	4.51108040638206	4.83847091102418	4.34138572695076	4.57856838994824	4.73813725367087	4.67027385973514	4.7417641092716
4.64378927039123	4.46066868861183	4.55079755751283	4.84391806997255	4.6341167808092	4.83534442643807	4.88147525731231	4.81759118668978	4.91494257705308	4.73087478195217	4.79392971853607	4.50678720337694
8.96484942888372	8.87589989626343	9.03290544401547	8.88716620323513	8.82672217527446	8.84594683418622	8.78135691910481	8.78621540259848	8.81661973639866	8.97164777588614	8.66588671946063	8.92046788469178
8.69531218582736	8.73700379499155	8.55635441590243	8.76603861198509	8.68020198573289	8.64465953930411	8.73602916761184	8.66416731541208	8.76581688296809	8.28798544362334	8.86176856264319	8.54663851385147
9.46737432002432	9.43136677745368	9.46644407557623	9.40313602609568	9.43472375832311	9.4510445722194	9.36253872181208	9.40418878635143	9.4002021185407	9.53117432677189	9.43257992196249	9.41859439993482
4.79612087253176	4.89275152968713	4.89662358240467	4.91562626393847	4.74631217739259	4.94353862576961	4.83847091102418	4.71706311937363	4.86273250199343	4.78793961432632	5.00131131264874	4.47827216442607
4.91157028519675	4.790934479499	4.53772873691895	4.47339239016465	4.70983735231248	4.59235698381527	4.54921761729768	4.56774359777504	4.69385006097755	4.60920071505233	4.75637750288316	4.72962547189549
9.87397548259669	9.81615338515924	9.85580030877217	9.87130280117514	9.86269745473054	9.84608428281559	9.68819954231055	9.7373445808498	9.70251717001099	9.67655109053712	9.69863937789547	9.7149734477277
3.87928974118808	4.04536456129666	4.40015836906638	4.31434410797242	4.30230518646815	4.34960086388285	3.86659750245886	4.22679647408014	4.21347036996971	4.06110025379335	3.62888883314826	3.65753150228756
8.99198059339742	9.04570535960457	9.00929978327502	9.07312697385552	9.00946337711719	9.02896079359734	8.95944918877887	8.92856324082364	8.97873329255983	9.06893406762808	8.8853134396716	8.90823714739619
4.72201461044688	4.96703456323432	4.92708804521147	4.6285859116617	4.6341167808092	4.6054858925992	4.60166385889411	4.53595152102872	4.4432928997399	4.89549155373029	4.99484386591853	4.7538060234099
