sample	group
k4_temp10_1	temp10
k4_temp10_2	temp10
k4_temp10_3	temp10
k4_temp14_1	temp14
k4_temp14_2	temp14
k4_temp14_3	temp14
k4_temp20_1	temp20
k4_temp20_2	temp20
k4_temp20_3	temp20
k4_temp26_1	temp26
k4_temp26_2	temp26
k4_temp26_3	temp26
