x
ostta02g00430
ostta09g00950
ostta02g00790
ostta07g00470
ostta02g02530
ostta02g02540
ostta09g01040
ostta12g01930
ostta02g02200
ostta13g00120
ostta02g01790
ostta12g03150
ostta12g01860
ostta02g00700
ostta02g00770
ostta12g02180
ostta04g03510
ostta02g00380
ostta06g03620
ostta18g01080
ostta03g02370
ostta05g04530
ostta12g01910
ostta03g01910
ostta07g03850
ostta02g00290
ostta03g03250
ostta02g00220
ostta08g02280
ostta02g01920
ostta03g00250
ostta09g03280
ostta07g01540
ostta14g01070
ostta13g00885
ostta09g00050
ostta02g01260
ostta09g01360
ostta17g01620
ostta01g03420
ostta16g01060
ostta02g02660
ostta08g01840
ostta02g03900
ostta02g01100
ostta02g00800
ostta10g00190
ostta01g02810
ostta20g00300
ostta06g02290
ostta02g01720
ostta07g00640
ostta16g00410
ostta13g00460
ostta02g02715
