T10ºC_1	T10ºC_2	T10ºC_3	T14ºC_1	T14ºC_2	T14ºC_3	T20ºC_1	T20ºC_2	T20ºC_3	T26ºC_1	T26ºC_2	T26ºC_3
5.29960640774074	5.1849500824568	5.13449665331296	5.34716741582297	5.20386800925178	5.2868923370662	4.96022069884575	4.84529806029206	4.85282533274949	5.37397438408035	5.37619176503274	5.35177702381662
4.62119869018024	4.48971005825849	4.36424868960514	4.47337373502098	4.327151930564	4.19893471039541	4.53006979544879	4.27394306493314	4.21749640345829	4.58392991375788	4.68783610678293	4.60775857797029
3.88869998113409	3.95191894363824	3.7661244609773	3.61417361419836	3.17715800396204	3.32014104939736	2.84008473655205	3.02283589067722	3.03067759806409	3.07576339965546	3.21953977788299	3.05510894821588
6.639610869059	6.62327242285703	6.5792673160365	6.35302865776341	6.27743212852017	6.32516297762696	6.41557864412664	6.61175448851163	6.54293582863457	6.40283391074978	6.38445893261185	6.28215804287623
4.77509001404752	4.83395299976574	4.89402023034594	4.88844574663796	4.80808994361835	4.88437229848516	5.05364320853426	5.30005832340992	5.09572575663646	4.68146707049631	4.57149801663569	4.66392886413995
7.96251404658804	7.75229307860105	7.659795115587	7.29213488221748	7.33951885692415	7.47212614498059	7.35114414364229	7.27419888860967	7.37832576657933	7.55587071987222	7.51369694511267	7.5063578144661
5.89127834004456	6.06397622663462	5.83571509349179	6.23849965501527	6.365610481215	6.29641912581263	6.51280785734515	6.62258688977496	6.60965428842638	6.09525672825314	6.11604872883811	6.27665714103267
4.06704276760104	4.46061666059475	4.64204379642464	4.53334899885717	4.72152169677732	4.54339005432289	4.98940525573813	4.92621549125208	4.80959841873502	4.83261179402143	4.79717442402121	4.2019723416521
8.11974161590121	8.04607839649641	7.90096499717162	7.63995110314396	7.35419525053557	7.45769784300365	7.34547832418839	6.8626022912416	6.81647550784443	8.19673640291419	8.23283479695395	7.91804057607462
5.05419434647614	4.85559518306697	4.80181652303687	5.1930233577309	4.98765034569082	5.01689574104156	4.86215136146009	4.75648749590407	4.60694694058659	4.66179867304397	4.62006377697206	4.58909897957277
3.80450117335322	3.66210382597906	3.87823094212389	3.76833959965957	4.00469355437407	3.81382722753133	4.85707285211214	4.44240056972687	4.30102784772911	4.18774909882051	4.30761324123626	4.0019117884564
5.58871509809244	5.49244446681182	5.58579366904676	5.68818886958906	5.67460204243311	5.5874586944793	5.29646127760268	4.89114150595669	4.74455696793307	5.13058610924956	5.01979640124768	5.32648194168367
5.0093346992949	5.11933062768387	5.20747712732395	5.48728538224334	5.57711477135838	5.51352351284448	5.97925276642255	5.74745732274988	5.54753484735436	5.55017187684108	5.56937923524421	5.50204182499917
