T10_1	T10_2	T10_3	T14_1	T14_2	T14_3	T20_1	T20_2	T20_3	T26_1	T26_2	T26_3
5.26498740234433	5.14503192588737	5.10960984239905	5.31722829411948	5.18216821494598	5.25402606212584	4.99348415332702	4.86053449969621	4.83973745287625	5.40208311444994	5.40923700952178	5.38620215296372
4.51460944237383	4.39993099098221	4.31584003426034	4.40442178469675	4.27057003823443	4.12560775150054	4.56043669387432	4.28323244253194	4.16730348352824	4.69174761351984	4.78937766055795	4.7115230966647
3.7432733180457	3.86573865027065	3.74297178199893	3.58338993798254	3.18050353588507	3.27781284833763	2.85457464978272	2.88856944421783	2.90220181745691	3.09367565965144	3.25664569343964	3.04665074402133
6.69457223824664	6.67876681212653	6.63739845579388	6.34770429316906	6.28158303445393	6.31742611676582	6.40127604167463	6.57262276277934	6.52974322901093	6.3767302954682	6.36665661612702	6.25243534128864
4.68404432510894	4.76931779724876	4.85100843059599	4.83651602557065	4.76181951582168	4.83523762642439	5.07764354623037	5.29940034299887	5.07346760682056	4.78085319303417	4.68335427395303	4.76763413481415
7.96765460138941	7.78810595578351	7.71561494886225	7.35922042399496	7.38490106746917	7.51609837638271	7.31827248764947	7.21714397150927	7.36351451103627	7.51861048991993	7.47823152360573	7.47351923486179
5.89505304600829	6.10338041341653	5.86468717844937	6.2442829953036	6.35739945880817	6.28886889420772	6.488431880137	6.58246144547484	6.60105365477667	6.07500737247382	6.09531198780208	6.24420274983329
3.92353550044501	4.36135014368454	4.58428218767564	4.46603292129328	4.67507826292618	4.4888649328213	5.02033507089024	4.93505923144169	4.79339036243618	4.91941370685474	4.89796550632006	4.30302451085009
8.11521512259772	8.07986329441934	7.95417067186964	7.7120641964672	7.39913882072691	7.49559069832906	7.31580419830307	6.837988149134	6.80951507186922	8.1748132590321	8.21703981753796	7.86738817577932
4.9918413860517	4.79205198511736	4.75335381838568	5.14383210336984	4.95482753341137	4.97444805651247	4.88889581585292	4.76968325590642	4.5947248093129	4.7653955606881	4.72918100154243	4.69646071183009
3.66032659759523	3.58295118050515	3.84584880075885	3.75234416756967	3.96176459864713	3.75005658330146	4.88187504817084	4.45438723603215	4.25227779701572	4.32205686157427	4.43649485685071	4.1118268858693
5.5835597587178	5.49406727157843	5.58682496018283	5.66272619273084	5.65330112962639	5.57285724299122	5.31876129033382	4.8987512780844	4.72883025598013	5.19165592061999	5.09459938092311	5.36292412727627
4.94017726802892	5.07980336246093	5.18287243066984	5.45743987494073	5.55598419472588	5.49827337524126	5.97060297312604	5.74260531219857	5.53431223149625	5.56067610843281	5.58328972274313	5.52255393685408
5.89833679144755	6.0737661189832	6.14406238210628	7.53840920451311	7.49024718544778	7.47969626469738	6.83481721988567	6.21022912538543	6.01637195440469	6.35471639974771	6.31600936617497	6.39302162446361
4.13557822312757	4.45489623357803	3.99248205486098	3.56997984140451	3.74134174990543	3.79236315920389	4.74918745841856	5.08300141034513	4.86235372118165	5.10593048821013	5.07041627154628	5.03404789607383
5.17987394558153	5.07716793277858	5.13810295566252	5.0194051992967	5.0847454026272	5.13842770939777	5.3548203865703	4.96715934527048	5.2944075466893	4.92096408141532	4.95138964199318	4.89954023235889
4.79945429016557	5.1054691703859	5.12287487165626	5.10420961397589	5.28812625705842	5.17828551306735	5.43062262745114	4.98747713058925	5.18772839949645	5.32492646663297	5.2679213821053	5.36470621370876
6.5871911993933	6.78129822618524	6.83245288838689	6.93583010471637	6.77097926061159	6.97575232153831	6.86264382394202	6.8567117338908	6.97121098057985	7.86513345447748	7.68650663906544	7.78597641817354
6.39910139457407	6.32343369735619	6.25961894948886	5.57218369181237	5.41613492334179	5.29646512562888	6.57646604615763	7.17003503934063	7.18363818841001	7.14748766687256	7.23927304960764	7.23122172822954
4.71047970610307	5.23478075865101	5.36512465850294	5.26037393107481	5.39564009791808	5.49226797856123	5.9632809331008	6.00702479302677	5.85574453554207	5.70407451505913	5.73307265546836	5.83155554192656
6.26798981994554	6.47932146932303	6.69116519712888	7.07976964914321	7.1443443811287	7.26611866209629	7.07702307431049	7.12452815366715	7.4431002521059	7.60603208141882	7.38625458246719	7.5576154260506
6.56910466376401	6.5842605474979	6.54122248780755	6.29639664107032	6.38843299023755	6.49312280071545	6.53761181467624	6.76221609064202	6.66769384237845	6.72535023082467	6.6753671360598	6.6257249489177
5.05629802170642	5.13240182210519	5.15966921563563	4.93082430591154	4.98648412493124	5.03015096418967	5.06662936344456	4.79116260560076	5.03639098282379	5.40437006640335	5.37803700971489	5.30961177509318
4.40595379151681	4.38153006548446	4.02538720430526	4.21937492479353	4.34804369826279	3.92175952896326	4.11911508128786	4.2649223185046	4.07684424314679	4.32578885732287	4.41977993585104	4.3689443711149
