T10_1	T10_2	T10_3	T14_1	T14_2	T14_3	T20_1	T20_2	T20_3	T26_1	T26_2	T26_3
5.33795977672775	5.19819510319549	5.16267940967065	5.36255101331967	5.22697383470075	5.30487275035356	5.04021021213219	4.90769331634956	4.87276126938466	5.43774444164537	5.44297697046468	5.41935836724828
4.63220084723212	4.48619339731122	4.40625821992913	4.46629534357109	4.3350286147195	4.2068988621377	4.62834915194767	4.35704393816347	4.22222866042616	4.76768716287166	4.85923067529758	4.7804629212548
3.92069816777947	3.98515070424383	3.87044164604194	3.68138442817526	3.31016872099957	3.41369404415118	3.07861804321723	3.10003984408344	3.07102790637154	3.32501440003379	3.46817253163263	3.2757146318309
6.70275159818334	6.69088506846375	6.64383771262097	6.39069770856793	6.32426310018255	6.36265971204082	6.4034064546129	6.59004483578795	6.56413890937719	6.37138814503782	6.35690392202294	6.25195194440526
4.79061229639308	4.83760645450354	4.9148504881414	4.88824013920391	4.81294435445999	4.89342755783529	5.12077997149148	5.33341366291244	5.10282444626889	4.85107741863022	4.76026590309505	4.83316540053439
7.92889016909699	7.78145549358583	7.69871633890152	7.4085875017171	7.43726575516627	7.56754975509725	7.30245469495406	7.23344523678017	7.41327382427535	7.47674913263326	7.42859084508593	7.43871270960333
5.9371025263361	6.12803218798778	5.89183449776317	6.28700533501244	6.4004651833293	6.33407841315065	6.48859758769688	6.5998397708859	6.63652459956791	6.08107076317502	6.09675712945285	6.24399288237763
4.08532479888312	4.44969901591674	4.6605640874596	4.52615418409646	4.72803929190322	4.55636736926628	5.06589899597726	4.97961130069035	4.8273513123528	4.98116669627323	4.96088504222694	4.39973769533178
8.07134389947425	8.06902762862301	7.93264842096373	7.76479300829251	7.45167349872762	7.54687090575896	7.30002800033144	6.85454429810494	6.84841843517384	8.11498236408634	8.14426149361732	7.82337213639421
5.07987928303685	4.8593425222703	4.82158156815098	5.19096259063054	5.00255225050859	5.02977102221336	4.94030548869689	4.82025168429235	4.63357588880627	4.83659575074678	4.80300540385175	4.76633089958885
3.84534699580958	3.72428777441694	3.96586140811821	3.84065302734931	4.03887184353574	3.8510548964777	4.9336083348395	4.51897879535655	4.30333209827783	4.4242451000637	4.53105931276952	4.22358523367489
5.64031174203777	5.53542933857289	5.62269966588479	5.70584846413152	5.6951318974985	5.6203747109845	5.35242023552527	4.94455251621127	4.76422133444836	5.23809464710307	5.14566300685116	5.39714831240996
5.03120250225506	5.13539597037858	5.23309235759717	5.50166023943139	5.59813318001034	5.54641919005051	5.98351375643929	5.76788933398565	5.56085674477702	5.58874690251797	5.60819921349941	5.54965466371348
5.94023657904682	6.09913729815262	6.1631911528497	7.58942875527972	7.54388980728836	7.53084496907448	6.82776909846353	6.22998360589896	6.04481981527302	6.35017493333708	6.30829160574685	6.38797593243508
4.28036418320197	4.53825903041308	4.10251413049971	3.66880221565444	3.82996953973908	3.89082218506964	4.80726648351947	5.12285363038704	4.8949466350209	5.15701407000864	5.12289220812906	5.08454466357543
5.25741602420367	5.13286031819766	5.19005429051925	5.06816709376336	5.13066822541079	5.19093139494873	5.38715705159995	5.01063922222423	5.32175613701622	4.98262501604471	5.01100186352159	4.95739961505945
4.89886177403746	5.16009671048419	5.17542224599392	5.1518278475457	5.33192814887063	5.23018838819727	5.46025429359814	5.03029368830531	5.21588300294841	5.3644412565972	5.30921050142167	5.39884827422551
6.5996610530054	6.79142931990135	6.83429172842236	6.98183171327356	6.81697668717148	7.02333051027263	6.85505334937145	6.87322992981942	7.01304467861806	7.81359129089068	7.63014532830064	7.74381247510699
6.4192584950137	6.34298571228523	6.27562173026856	5.61571900202542	5.45899697037527	5.34676730132215	6.57471183675678	7.18631324863145	7.22963224766018	7.11659297761993	7.19758029128114	7.20243476751288
4.81538363938814	5.28472309367443	5.40860174080888	5.30623281365914	5.43863349627479	5.54046817233761	5.97639231313403	6.02878774852299	5.88309955689613	5.72563455186877	5.75075688771679	5.84607889092145
6.29364772465837	6.4955004647376	6.69631558312676	7.12682108373132	7.19397662326165	7.31560477612249	7.06541645300804	7.14079787726429	7.49458895402877	7.56168263582649	7.33964108643715	7.52078704856569
6.58230393872538	6.59826937095653	6.55000930418384	6.33924446353595	6.43167134898859	6.53866233932476	6.53669720796896	6.77895564186509	6.70421669396247	6.70790084981352	6.6536934096159	6.61354290742634
5.14067308541461	5.18602945642722	5.21078263681256	4.98093303546838	5.03373546636411	5.0844514573787	5.11022683106859	4.8409012225515	5.06621766591538	5.43991883377571	5.41341313592691	5.34632117952747
