T10_1	T10_2	T10_3	T14_1	T14_2	T14_3	T20_1	T20_2	T20_3	T26_1	T26_2	T26_3
5.38646214962732	5.23092964924996	5.20061558849706	5.19652066588359	5.08877498540514	5.17798671278532	5.04488254399022	4.84940191029415	4.78587597795102	5.41641346412101	5.43877323055103	5.38646608410141
4.65946254966708	4.49356331591482	4.41922409419197	4.27042088482533	4.16071037838364	4.03370336452002	4.61609162146285	4.26646044458974	4.09329279677798	4.72173871124449	4.8351210087344	4.72341861628888
3.91215774630709	3.96491621709415	3.85528934247329	3.43743228797061	3.05095372685157	3.17398885856174	2.92699694229097	2.85817360010065	2.79028287114239	3.15889940759313	3.34246455538419	3.08724896296257
6.77150763237452	6.74874343312112	6.70457935149556	6.24200356642638	6.20804881513231	6.25633767856737	6.43883687706499	6.57821480661301	6.526522093392	6.36957262444613	6.37115970452155	6.23776525619172
4.82361861306289	4.85911566212656	4.94604689424044	4.70880774747262	4.66083342054587	4.75331030607787	5.1282147121733	5.29255483997384	5.02660976139116	4.80887978239746	4.73186975827643	4.77856229003119
8.00492654670086	7.84656696073163	7.76598177328665	7.26825048472146	7.33129636310763	7.47186271373548	7.34681992474482	7.22903205805352	7.38527699453974	7.4862778163684	7.4536708640883	7.43779744343886
5.99689781715465	6.17932989571668	5.94391799416019	6.13707613621936	6.28523473089173	6.22737895471626	6.52513603795871	6.58814959904955	6.59996930721364	6.07450177877693	6.10690977743702	6.22967459609631
4.0868037800171	4.45538296131298	4.68348007022048	4.33292926915848	4.5725253382816	4.40206777318758	5.07146953685052	4.92465464119266	4.73814011569792	4.94438545622443	4.94086966682297	4.32196261969227
8.14788975405916	8.13529568047334	8.00081737797269	7.62623274828021	7.34579129653288	7.45106670724797	7.34437589686103	6.84617243009465	6.81467718632598	8.12801330033761	8.17316193714262	7.82487601285221
5.12182611929498	4.88161385527693	4.84991514095578	5.02059929302755	4.85732779117146	4.89447797019205	4.94132223268438	4.757663180874	4.5335216296553	4.79376294406403	4.77649827920488	4.70861590968259
3.83179526792636	3.68506425352004	3.95656206234023	3.60884701104097	3.84632690740027	3.65287212122545	4.93437047396709	4.43928717359092	4.18081333118855	4.3601985215563	4.49146484083949	4.13406127621393
5.69510924215521	5.57634179544373	5.67038885294564	5.54705007705357	5.56841809405532	5.50130051205347	5.36696244680382	4.88799201149272	4.67164549177291	5.21062555308331	5.13236226185597	5.36358937577078
5.07177161991131	5.16637819804476	5.27273569528193	5.33877415877609	5.46934329854532	5.42566802974449	6.01239700693152	5.74008928255288	5.50126340878773	5.5715099625485	5.60827508161597	5.52046713867121
6.00007925604021	6.15002301569862	6.21893652676116	7.45004880527781	7.43854537487699	7.43494880525757	6.86811666545969	6.21228110600912	5.99776785625197	6.34804406850396	6.32183670082149	6.37592780651554
4.29224021710376	4.54795798581134	4.10090866807263	3.4238268991213	3.6219225045372	3.69577350794652	4.80298710529494	5.07404200182861	4.80916993358567	5.12679010702075	5.1088114551606	5.04038303004739
5.30400044057043	5.16377012572785	5.22866437055209	4.89436035034871	4.98959239998607	5.0607631008782	5.40266710873692	4.95706832684025	5.25417007716586	4.94590164971797	4.99289695051502	4.90819430268894
4.93543292918552	5.19177757924958	5.21367375841864	4.98039977826299	5.19664697464998	5.10118128676553	5.47772426953406	4.97758458762022	5.14429433248971	5.34095788688341	5.30115250641422	5.3653407387121
6.66747209767843	6.85021050864661	6.89659203954686	6.83869429955133	6.70628513011184	6.9239196441865	6.89566975453497	6.86507891727223	6.98121824751903	7.82516099826605	7.65650032274942	7.74486780861538
6.4852423146161	6.39709889252729	6.33269106609741	5.45518899870731	5.32696789411274	5.22102244982117	6.61230489309903	7.18146293955591	7.20001075068386	7.12333712841222	7.22096030806945	7.19967718947532
4.84923038797201	5.31974683446052	5.45214582046781	5.13883832836261	5.30610286543152	5.41957819997482	6.00514693715586	6.00709176037521	5.83232730177291	5.71174686828613	5.75414172100914	5.82414150039991
6.35821557957067	6.5513684544647	6.7575076361505	6.98473004667109	7.08639444000341	7.2183684007058	7.10794181509018	7.13551151723733	7.46724749014017	7.5717720263453	7.3640987942841	7.5204438011401
6.64994905613324	6.65521820108623	6.60990318395865	6.18994871703085	6.31682882891241	6.43450457633561	6.5738325700376	6.76966018786617	6.66860634107432	6.71050654528281	6.67179853745535	6.60461928373024
5.18427457971832	5.21843065363845	5.24989431900084	4.80448944657763	4.88955620377592	4.95096403489412	5.1173087906755	4.77935235283833	4.98842215135751	5.41864999570502	5.4083890002646	5.31119613814453
4.55419211407276	4.47535340323236	4.13330068352971	4.08267917322178	4.23958346488773	3.82698913059941	4.17910787462047	4.24797145705667	4.00012298185827	4.36384823809306	4.47518695583894	4.38674600968944
3.94923774470761	4.35097914468275	4.6470960683503	4.25035985115564	4.32668227248404	4.3190301265561	4.66541257619134	4.49692715717622	4.27524150032278	4.63924896766171	4.69024520846368	4.69170843790185
0.944773945400896	0.688532171519213	0.807803425775841	0.357168129532632	0.502332335494799	0.539568178401174	0.755806014032661	0.912534090708703	1.04083149396773	0.510361623056448	1.1199222608181	0.75063637944147
7.5954937624684	7.69809028226464	7.6311187654907	7.81572403960645	7.76190679555015	7.83544297531174	8.46388888147261	8.01653352763273	7.89978877516762	7.87095973684986	7.81256750697748	7.76736575792686
6.22181283704609	6.13230528243039	6.21242964084023	5.57352995923855	5.59395075940416	5.42739049866992	5.80757782574026	5.9731200139394	5.89152940875545	5.95615710123892	5.98129363775209	5.99092091122873
3.65016035938317	3.59943093182963	4.77804842220044	5.14054865221949	4.94940097785607	5.38875483349704	4.84743660523497	4.01488348088931	4.09487163423294	5.79405539808689	5.36092129660564	5.31612758806371
4.84118200022492	4.8979413714321	4.86936821661975	4.33149845998394	4.70439184662939	4.62525479894783	4.51422429826303	4.05260623941301	4.15815716410614	4.95713263356065	5.05905867515674	5.01877753361743
4.91346569279335	4.69140571327997	4.54381698130512	5.05156034244322	5.09990525002064	5.14189582161007	5.04193292149791	4.85230850274312	4.92008072163236	4.90368247257479	4.98081676363526	4.89380795536367
