T10_1	T10_2	T10_3	T14_1	T14_2	T14_3	T20_1	T20_2	T20_3	T26_1	T26_2	T26_3	T24_1	T24_2	T24_3
5.38876341419096	5.2332309138136	5.2029168530607	5.19882193044723	5.09107624996878	5.18028797734896	5.04718380855386	4.8517031748578	4.78817724251467	5.41871472868465	5.44107449511468	5.38876734866506	4.17791054740149	3.91018593662223	3.77864140988244
4.66176381423073	4.49586458047847	4.42152535875561	4.27272214938897	4.16301164294728	4.03600462908366	4.61839288602649	4.26876170915339	4.09559406134162	4.72403997580813	4.83742227329805	4.72571988085252	3.01241846236795	3.48965825998119	3.04307666088607
3.91445901087073	3.96721748165779	3.85759060703693	3.43973355253426	3.05325499141521	3.17629012312538	2.92929820685461	2.86047486466429	2.79258413570604	3.16120067215677	3.34476581994783	3.08955022752621	2.62386066496486	2.89320354065064	2.64306836960604
6.77380889693817	6.75104469768476	6.7068806160592	6.24430483099002	6.21035007969596	6.25863894313101	6.44113814162864	6.58051607117665	6.52882335795564	6.37187388900978	6.37346096908519	6.24006652075536	6.62638933513488	7.09426716589084	6.9272444250031
4.82591987762654	4.8614169266902	4.94834815880408	4.71110901203627	4.66313468510952	4.75561157064151	5.13051597673694	5.29485610453748	5.0289110259548	4.8111810469611	4.73417102284007	4.78086355459484	5.14582492383555	5.21080169459449	4.81938785426929
8.0072278112645	7.84886822529528	7.7682830378503	7.2705517492851	7.33359762767128	7.47416397829912	7.34912118930846	7.23133332261716	7.38757825910339	7.48857908093205	7.45597212865195	7.4400987080025	6.33255317228436	6.37640919850165	6.54746276214368
5.99919908171829	6.18163116028032	5.94621925872384	6.13937740078301	6.28753599545538	6.2296802192799	6.52743730252236	6.59045086361319	6.60227057177728	6.07680304334057	6.10921104200066	6.23197586065995	5.85306973915133	5.6835022879014	5.59138455044353
4.08910504458074	4.45768422587663	4.68578133478412	4.33523053372213	4.57482660284524	4.40436903775122	5.07377080141416	4.9269559057563	4.74044138026157	4.94668672078807	4.94317093138662	4.32426388425591	3.40316124965654	3.1696383087663	3.16302822871361
8.15019101862281	8.13759694503699	8.00311864253633	7.62853401284385	7.34809256109653	7.45336797181162	7.34667716142468	6.84847369465829	6.81697845088962	8.13031456490125	8.17546320170626	7.82717727741585	5.17102237952371	5.21363654897642	4.83447693777801
5.12412738385862	4.88391511984058	4.85221640551943	5.02290055759119	4.85962905573511	4.8967792347557	4.94362349724802	4.75996444543764	4.53582289421894	4.79606420862767	4.77879954376853	4.71091717424623	4.63268192013143	4.94729937602902	4.1674317021345
