x
ostta12g03150
ostta06g03620
ostta18g01080
ostta03g02370
ostta03g01910
ostta07g01540
ostta09g01360
ostta20g00300
ostta02g00360
ostta09g04140
ostta05g01050
ostta08g03950
ostta05g03090
ostta04g00960
ostta14g00160
ostta11g02870
ostta05g03290
ostta06g01030
ostta14g00580
ostta07g02140
ostta09g04190
ostta17g02075
ostta13g00290
ostta05g00130
ostta07g02510
ostta03g02770
ostta03g04680
ostta11g03070
ostta01g03770
ostta10g02490
ostta08g00940
ostta16g02310
ostta14g01040
ostta12g02400
ostta16g00780
ostta01g06050
ostta09g02850
ostta15g00840
ostta04g00350
ostta05g03870
ostta02g03650
ostta16g02410
ostta07g00330
ostta03g00280
ostta07g04100
ostta09g00820
ostta02g03060
ostta08g00920
ostta20g00630
ostta07g00910
ostta02g03250
ostta07g00990
ostta10g03190
ostta03g00910
ostta06g01060
ostta17g00700
ostta09g02370
ostta07g00220
ostta18g01840
ostta04g04130
ostta10g00380
ostta13g02900
ostta03g02090
ostta17g01500
ostta07g01285
ostta04g02830
