k4_temp24_1	k4_temp24_2	k4_temp24_3
4.52799229322393	4.68670509185348	4.9632712376605
8.22798631822696	8.27963663551894	8.1277766036249
8.10117567846891	8.03388489456152	7.97711024027081
8.7636334588696	8.87056667877937	8.85897100143278
4.71219431145622	4.6521487094341	4.88001557417534
9.03067389340323	9.00323922540708	8.88096737441356
8.30319275974187	8.31260050507845	8.13129292399193
4.57963550994267	4.57069125702398	4.99616550234554
7.99361579760196	8.12310424869972	8.0485306368285
4.46999207370189	4.54990035396487	4.50076424042798
4.79045394331537	5.00015844535964	5.01747830537696
4.40861389006229	4.39994799753911	4.27524076978112
8.07377839891318	8.07598506240429	7.81598317306333
6.78276097061177	6.85775215711385	7.07510414267378
9.00323922540708	9.02275713700828	8.95195800198424
5.08517277537602	4.88218311703448	4.88001557417534
5.14641583582084	5.01061929601496	5.36330008359831
6.56119252829694	6.58492033055958	6.47575099171962
8.71633536556648	8.74476893894322	8.84744920826678
4.85851515574612	4.80958362560862	4.91154097657191
6.89549181369514	7.0179068156978	6.92885706973881
4.74749970478631	4.51205430743358	4.36712235323168
4.62331774538432	4.75955268846912	4.91154097657191
5.24854852947905	5.34839930358942	5.1603016742033
7.81535911568348	7.73735195897456	7.98916631227302
5.60024483119174	5.62474583840847	5.71611519312472
5.26670596814924	5.1620794101658	5.40194574642483
4.36562422269381	4.78235488207861	4.59123413892432
4.36562422269381	4.31919183992628	4.50076424042798
8.00595736783421	7.97711024027081	8.1277766036249
7.35522942126424	7.33303909867349	7.42848107134329
8.20528055752931	8.19243743982075	8.25667559694492
8.46831544879039	8.58464687838257	8.62244863902893
5.80849090255625	5.6494398092443	5.74071700180949
4.88869965073078	4.91371207889147	4.94621936374747
8.64426703639316	8.69474077918118	8.71548795096993
4.84536914475873	4.4402294265244	4.85095192393849
4.59390241559132	4.58727658746072	4.36712235323168
7.47263568297396	7.42848107134329	7.31137076343368
7.4911545810969	7.5509497028825	7.20989607781116
4.42467519527607	4.4402294265244	4.53355559135287
4.74267983635629	4.74267983635629	4.53355559135287
6.03280873775364	6.13307300933903	6.0529146060924
4.74749970478631	4.62592148162271	4.85095192393849
8.29483662703165	8.33096254612065	8.33096254612065
4.63711148015229	4.4402294265244	4.3954593434401
4.56928921705462	4.27524076978112	4.50076424042798
4.74267983635629	4.93006678803824	4.81652249028993
5.1902903899267	5.31285237072889	5.48742408117629
8.55696631700478	8.62244863902893	8.6177111065225
3.88586864803505	3.76542680653457	4.338114139553
8.29088335841487	8.30319275974187	8.09390284701385
7.84827108932231	7.76668705869411	7.69178842518548
5.04046903284587	4.93424227760352	4.9632712376605
7.57619980886939	7.67179180011942	7.46674501229537
4.6521487094341	4.52799229322393	4.50076424042798
5.52571850858488	5.50825233293847	5.31758063170313
4.50931413849859	4.65479829380593	4.81652249028993
4.89507228647831	4.93006678803824	4.85095192393849
8.14375698882916	8.11781603437085	8.27642136357959
8.46544992063938	8.40783494580851	8.43385113557948
4.36862048376956	4.36562422269381	4.3954593434401
8.37425252433785	8.37425252433785	8.37147113365842
4.78113121952175	4.79592112541056	4.78347065750761
5.41513490903627	5.31758063170313	5.08795509834668
7.7402567607901	7.81535911568348	7.79612701905735
4.95805342463466	4.79592112541056	4.72181397871891
8.73474974794962	8.68208175737844	8.48828461744824
9.36615580172772	9.32880721649917	9.31649596351931
8.71464053637338	8.63806165689159	8.92920328274929
8.50901939955747	8.44976891986164	8.25998512173568
4.27690478454323	4.16734496358798	4.67930361811115
