type	description	begin	end	length	accession	biological description
DOMAIN	PF19633.2	416	828	412	ostta06g04340	Protein SET DOMAIN GROUP 2 C-terminal
DOMAIN	PF00856.31	136	405	269	ostta06g04340	SET domain
DOMAIN	PF19633.2	911	1356	445	ostta11g01290	Protein SET DOMAIN GROUP 2 C-terminal
DOMAIN	PF07496.18	89	135	46	ostta11g01290	CW-type Zinc Finger
DOMAIN	PF07496.18	228	278	50	ostta11g01290	CW-type Zinc Finger
DOMAIN	PF00856.31	776	900	124	ostta11g01290	SET domain
DOMAIN	PF19633.2	1915	2335	420	AT4G15180	Protein SET DOMAIN GROUP 2 C-terminal
DOMAIN	PF00856.31	1753	1904	151	AT4G15180	SET domain
DOMAIN	PF14237.9	983	1032	49	AT4G15180	GYF domain 2
