temp10_1	temp10_2	temp10_3	temp14_1	temp14_2	temp14_3	temp20_1	temp20_2	temp20_3	temp26_1	temp26_2	temp26_3
37.622612	34.685635	35.097973	36.831062	34.519005	36.654236	33.273537	29.352507	27.980623	45.165554	45.130219	44.040546
22.730043	20.805601	20.420189	19.383421	18.141909	16.582903	24.718382	19.59577	17.31287	27.905474	29.69956	27.813492
13.540637	14.422536	13.813333	10.881177	8.406456	9.138201	7.665701	7.382879	7.016556	9.445564	10.553965	8.947864
98.26281	99.324669	99.545181	76.021416	74.988258	77.399857	87.442192	97.290344	93.506989	87.445374	86.127876	79.454643
25.46925	26.805412	29.420444	26.266247	25.658722	27.307619	35.252056	39.906857	33.061722	29.642954	27.648291	28.897177
231.038986	212.586136	207.746735	154.834259	163.352005	179.742035	164.078308	152.751419	169.572357	189.626312	182.394638	182.542908
57.439201	66.933968	58.754124	70.688644	79.109482	75.861725	92.83242	97.962624	98.390663	71.270805	71.712784	79.010307
15.283147	20.262211	24.524984	20.241716	24.135241	21.406679	33.89241	30.924204	27.06995	32.562126	31.95829	21.057423
255.106476	259.687439	244.470673	198.440567	165.001495	177.169693	163.800583	117.147499	114.179306	295.855896	300.331207	238.719131
31.31739	27.226707	27.523945	32.60293	29.402599	30.114769	30.968788	27.544132	23.49044	29.333971	28.516933	27.529572
12.807005	11.87949	14.81783	12.253971	14.589625	12.735586	30.819921	22.089626	18.39566	21.719757	23.404491	18.485929
46.597324	44.068581	48.606895	46.960651	48.133255	45.861824	41.596298	30.148241	25.850597	39.161472	36.494595	43.347706
30.249462	33.167881	36.89711	40.647778	44.938725	43.519478	65.065361	54.421288	45.942059	50.291668	50.756607	48.327133
57.566006	65.58799	71.093056	175.628021	175.958252	175.201355	117.746262	75.494049	64.814651	86.150162	83.233093	87.440041
17.622005	21.605021	16.37711	10.779044	12.487965	13.119991	28.13722	34.297985	28.436069	36.950645	35.903687	34.647453
35.532478	33.107975	35.787022	29.871355	32.225624	33.793747	42.638592	31.626856	38.710426	32.596365	33.131821	31.613934
27.521723	33.756989	35.417095	31.707016	37.198975	34.753891	44.915611	32.079828	35.871708	42.864025	41.024139	43.40036
91.426346	106.561852	113.716064	114.962914	105.919846	122.942589	120.016632	118.692818	128.15078	239.835022	209.927734	225.840775
80.577675	77.839775	76.925568	44.063721	40.71566	37.764107	98.614349	147.796967	149.136642	147.449249	155.224121	154.768875
25.925436	36.8881	41.783054	35.38752	40.131046	43.336163	64.739204	65.485413	57.792385	55.425747	56.15686	59.649406
73.786324	86.624619	103.265022	127.209312	137.848373	150.778793	139.040619	143.163651	179.486023	201.203217	171.414749	193.305405
90.322594	93.090042	93.222313	73.327332	80.861038	87.573708	96.019356	111.096542	103.184792	110.756233	106.082817	102.459763
32.702761	34.386429	36.317539	28.067329	30.066816	31.317244	34.986576	27.961353	32.198071	45.235626	44.189682	41.801723
21.130545	20.54464	16.748975	17.018236	19.161352	14.369226	18.258909	19.346241	16.230136	21.774773	23.141903	22.024546
13.893168	18.847691	23.914211	19.115755	20.3538	20.209356	25.578032	22.99004	19.639982	26.354666	26.861982	27.208826
1.731281	1.48851	1.670759	1.286542	1.436817	1.471706	1.701995	1.916593	2.086828	1.506394	2.261329	1.77145
173.95372	191.795761	189.20665	226.293991	220.166443	231.258774	355.895447	263.66156	242.235916	247.570786	233.911041	229.390228
67.129677	64.78743	70.773132	47.830547	48.992695	43.571468	56.453793	63.961414	60.213272	65.657806	65.732834	66.959427
11.291978	11.194884	26.186451	35.429497	31.340254	42.420101	29.017622	16.460011	17.331827	58.679836	42.759407	41.944855
25.781208	27.536592	27.897587	20.221651	26.445234	24.988218	23.033234	16.896074	18.10903	32.851109	34.686619	34.132446
27.105837	23.863644	22.262091	33.310169	34.786346	35.748657	33.205578	29.411703	30.708389	31.656284	32.855555	31.300251
26.525166	25.585516	24.124352	20.866039	21.71718	21.244198	29.00823	26.002481	26.512157	28.497772	27.830721	29.41058
207.361084	185.36644	175.306763	197.785309	213.398865	211.7453	133.281418	82.241028	79.85041	115.159531	109.37989	108.676765
15.37051	16.708236	21.095102	13.521894	18.646152	16.254644	18.936304	18.961092	17.317335	15.655961	17.465797	19.665236
39.273094	48.172245	55.285698	65.473312	64.70438	63.307911	54.836651	55.101025	46.612793	46.717297	43.955833	45.429272
15.297659	13.640875	13.527978	9.27753	9.004498	8.252252	16.662953	18.830606	19.434519	28.382339	28.122532	26.94742
59.239899	60.551601	105.806816	97.567253	111.192093	122.783371	148.156509	171.050079	190.608154	235.510468	222.68602	213.213669
61.384743	61.911095	59.008221	52.511467	54.33334	58.86581	65.9058	61.081303	55.995804	42.660309	40.090477	44.453358
20.284367	18.436773	24.129457	25.150234	26.715811	32.728733	32.699339	30.13331	29.375273	33.841484	32.354822	40.930367
135.615051	130.65509	121.60643	120.176666	127.409767	127.772842	106.278778	118.63533	127.912056	101.746277	100.295921	102.119949
54.51371	51.638672	58.547157	44.780125	52.727779	55.167534	53.369007	60.920406	69.709503	72.245262	59.545124	63.902256
46.471786	60.49556	75.136986	76.664085	75.262268	88.646126	84.963333	86.337868	73.741043	75.37825	76.135651	85.682465
96.785309	88.260719	92.503242	79.19429	87.557724	89.146088	77.86245	87.080505	84.916565	88.521805	76.443535	89.724144
59.782856	50.212124	53.340157	47.982624	48.856396	50.550076	37.519142	31.026138	31.15093	34.608738	32.377115	34.567062
21.371616	21.018213	19.121532	19.769567	20.908228	20.726654	36.167992	26.564445	25.234196	38.374977	37.214611	33.651836
27.119772	25.561144	25.538788	24.200899	24.317623	23.632694	30.216866	27.148855	25.047031	30.54789	30.967218	31.359461
31.98996	33.807659	38.620056	27.068665	32.96451	34.870941	43.832706	67.094345	60.112038	54.388493	45.906979	52.937893
44.839039	34.418739	41.492874	32.508982	34.410751	41.086319	41.156555	46.659168	37.53426	38.683056	34.425259	37.600147
569.653503	514.720093	498.295471	468.241669	458.104584	407.797333	545.32312	651.023132	644.952637	947.665588	953.359924	958.173096
202.464188	248.685791	470.868042	383.570312	423.155792	541.279785	413.419006	360.546753	387.914062	494.733154	418.388092	439.729797
236.304062	221.148727	196.098633	194.027145	201.698776	202.913574	196.970428	185.25589	174.610107	158.065491	171.399338	172.092041
178.335678	171.502502	147.558762	170.554855	162.053238	161.404343	191.417252	183.645828	180.448029	158.277451	160.43042	154.674637
61.030479	64.481327	61.902584	65.043533	63.679249	62.015205	70.407394	71.861839	65.6063	58.156284	58.910301	60.49342
23.602358	19.975393	21.970186	16.304386	15.137579	13.102465	29.31852	27.868364	31.637682	36.721603	47.145081	35.172119
26.579416	22.149311	33.999004	28.888575	24.83717	29.533691	58.084541	51.182064	39.787083	50.741028	48.846169	65.041161
34.716999	37.918762	38.290684	29.612135	33.69873	27.937265	44.623089	37.995724	34.78289	60.60379	54.607731	70.997185
43.758801	77.206718	82.744415	126.694893	131.950455	126.317108	139.851135	120.183281	148.151047	154.482132	147.217453	150.09967
31.54561	31.286674	33.380333	12.756965	12.127826	11.047471	21.578363	26.888712	27.5504	48.550468	40.040665	34.838234
21.842041	22.832539	27.299747	19.091972	22.90659	23.117504	21.344374	31.458397	24.450445	17.587759	13.501857	17.184347
35.31567	39.836723	41.379848	47.257961	48.700439	51.129879	35.131142	34.81926	35.754887	26.528263	24.787336	23.011156
22.71188	22.773224	23.428158	19.438086	22.824425	27.982916	26.932796	19.911455	18.845547	29.720186	30.654587	26.371319
49.021992	47.110165	53.414486	52.288074	48.966228	56.425777	47.301041	40.895641	50.392094	47.534378	47.647972	49.281982
161.630981	158.487549	123.819237	215.788406	224.2659	229.411758	283.854279	233.728973	288.506012	194.253189	203.701126	166.600128
19.206379	15.007611	13.077643	14.673496	14.136972	14.680607	24.168879	15.795848	13.165746	24.628143	26.15605	21.647263
73.677513	70.42646	90.154106	64.844936	57.759781	52.469986	34.51128	18.13657	27.014528	43.924309	48.152237	51.384968
18.561314	16.385321	16.161731	13.938282	12.240971	12.905775	19.6623	19.448753	16.596703	21.906815	22.001581	22.620893
48.977112	50.106804	40.84343	42.265102	39.127354	49.45853	24.647522	24.551039	28.829861	43.426609	47.691593	44.137054
106.699402	111.90554	107.89418	248.931641	244.114868	265.558258	163.340485	133.916306	144.911652	165.340775	154.865143	167.67189
36.651928	37.13311	34.70993	25.061802	26.288343	26.21771	36.479454	27.40826	29.651985	34.55547	37.041992	38.711178
38.364986	42.643841	44.924843	29.924719	40.437363	43.736824	44.960129	51.001644	48.88047	47.354027	48.143745	54.554527
106.542915	94.697105	96.47747	64.096676	58.150986	58.732285	77.528137	108.830322	101.946724	131.613113	135.665894	151.654785
36.776196	36.756088	32.392103	31.466352	32.849743	36.607403	34.333866	29.882517	27.278788	36.665276	34.208557	34.521519
10.016223	11.341396	11.395987	13.779531	14.923249	16.188015	22.57539	23.616722	20.62862	21.633812	21.599476	22.728401
11.926131	13.50965	13.612121	13.409391	11.911728	14.680787	16.047381	13.32466	10.281645	11.931681	13.190254	12.816671
40.426628	36.073997	31.915789	36.887478	36.604542	35.493958	27.636599	21.976519	22.538052	25.686525	27.637909	28.190014
19.054144	19.174873	23.978647	16.93099	18.263775	21.483604	15.0557	16.510658	14.754044	26.153837	21.953156	25.023094
15.299883	13.098499	13.452685	11.968672	15.164293	14.05724	18.652285	13.39626	13.352463	24.852907	21.853987	23.59008
37.62772	34.51302	35.463223	46.147888	45.009785	44.405743	63.624493	58.036644	68.553383	52.151947	50.15773	54.321457
35.195831	41.296753	44.381348	37.115356	36.606625	40.70805	41.858246	29.731489	24.46306	59.759068	64.461708	59.585655
62.437031	51.521751	51.593414	49.403404	50.791409	44.592628	47.992649	43.048862	38.610703	49.368988	49.879047	48.96225
11.076607	10.470001	12.187728	6.342371	5.787675	5.812671	8.987204	10.285906	8.573987	11.526438	12.630116	11.532014
802.60083	688.771545	719.176514	956.649292	921.994934	876.668213	796.085022	704.087952	759.479126	1123.382324	1081.04541	1069.101318
10.682739	8.009262	10.174872	13.239779	15.48339	15.501629	12.660011	10.077139	15.39032	14.318762	17.390707	15.93361
9.610328	11.556305	11.347326	12.274761	13.196763	14.765552	13.480257	11.542699	8.772756	6.970158	9.589646	9.302147
138.584473	135.806976	172.728073	97.359245	89.184349	96.058029	155.919296	177.222061	166.315704	191.656433	198.649841	195.852585
9.242372	7.377632	8.840233	10.732327	8.199784	13.159431	17.989954	12.516273	12.694022	13.180042	13.326097	9.7982
137.852661	133.36882	127.791107	72.132256	79.242615	89.264633	112.595741	105.30265	121.945038	113.069443	106.553612	107.299072
679.421997	633.800781	624.476746	450.249847	394.234802	388.99176	373.810211	388.878967	421.463562	389.136169	406.624451	370.288544
