ZT8_1	ZT8_2	ZT16_1	ZT16_2	t10C_1	t10C_2	t10C_3	t14C_1	t14C_2	t14C_3	t20C_1	t20C_2	t20C_3	t26C_1	t26C_2	t26C_3
181.957263926169	295.427811567716	302.729146508636	315.754776080751	171.016056907775	159.479517338888	141.514854880303	158.104145540302	159.813223817433	119.354323661786	198.034190516808	180.301399680477	185.438254577729	300.906053097923	299.200549194367	211.597823124862
176.191468752051	180.991261897896	163.512205748218	151.917868382002	263.268247786428	255.282640676233	245.806761134104	260.069015097199	273.576278127915	292.369352576372	304.814009893659	299.099937484704	303.563213043924	431.161108112051	420.325721832832	367.911114202011
11.6445449368335	11.6100112276655	12.6476324938996	8.92759230800399	21.2540867794479	19.6629461046777	15.9419663084318	21.4989326087606	16.7751435310535	10.7277526297358	20.0678248887234	18.008315248474	20.5701659437438	16.971328271487	11.2274566300691	17.1327524961074
15.1927265824447	15.0203719794151	13.4796062434638	15.0934974364515	20.8105666309929	18.2632251468268	19.4133322184715	22.3955062019867	24.5110312241663	10.7277526297358	19.4322307257659	19.0469909888388	19.4438254577729	11.8250113840079	9.82368807300078	18.4408135093053
548.750541541224	571.667032459435	631.636102169704	632.858468400911	653.713818476369	681.730959168118	726.817333103519	597.547466256536	629.123743866275	642.568447246861	763.712995548934	738.589610126569	814.499415992458	1308.87432623177	1299.28537692289	830.092672198602
56.8838609183759	71.4807888694919	68.9445228810807	69.7058000027013	90.886750086893	89.6489939972189	84.4637107935633	88.8642121361587	93.8306523173534	134.409178922091	110.322196028681	108.113435725122	106.17204287753	114.573889930574	120.520865716101	100.194626834174
112.32419913105	99.1426038559054	98.3409286990177	95.2502641062697	87.3385888992525	80.9396191483693	77.5209789734839	81.44710331947	82.7577150311332	126.534331555162	90.6187769769998	99.8040298022037	103.07460654111	130.545218202061	134.157474556194	121.341613214207
22.289089873667	20.3253775932478	21.7993437391063	21.2594025648991	35.594571579495	28.6833700552719	32.3932221429678	35.1105498877388	34.8255481483167	31.1097105206108	35.322084799702	38.6519955882248	42.3930128594293	27.9737988585114	27.2705258537069	37.8437185384075
28.0548850477851	29.7986019036634	26.5138616533038	23.9019333342338	53.1875374682125	48.9015616686727	45.8258989252953	52.3084615396214	56.6680545759293	56.1239315685028	49.9407505477233	61.6326963437965	61.9631788031731	59.9164554014855	49.9313611320952	65.749020153296
16.9668174052502	19.5675196484145	14.5889045762161	14.5062683765994	21.1062467299629	21.9958143677624	23.3374849863424	23.7811199369725	27.6963967448598	31.8045499941633	22.6102015405531	28.0055692494854	28.0321716633008	16.4389506624375	20.8532981642518	29.9953524592201
