k4_temp10_1	k4_temp10_2	k4_temp10_3	k4_temp14_1	k4_temp14_2	k4_temp14_3	k4_temp20_1	k4_temp20_2	k4_temp20_3	k4_temp24_1	k4_temp24_2	k4_temp24_3	k4_temp26_1	k4_temp26_2	k4_temp26_3
4.76841689010406	4.15259116659813	4.76274937415207	4.5534156259694	4.79418607182857	4.63476479335349	4.76032782031102	4.32959121194217	4.57856836314065	4.85633806438463	4.89710266048431	5.80524086720234	4.50294636463987	4.778588111254	4.87648376849766
8.8487360546158	8.76985898131412	8.90976440333621	8.77726164444735	8.72807339981511	8.75409022602089	8.69526095844911	8.69569298229713	8.73216849403608	8.68105414710367	8.75775580870196	8.58284844586589	8.875085905481	8.61952760560494	8.83254042091006
8.53184468383377	8.58975520538017	8.41004669863133	8.62505098391455	8.56501511786106	8.51287248833297	8.6220917781189	8.52554750327498	8.65524868005252	8.57112686770616	8.53536338736552	8.39401498187351	8.12987215846472	8.78296802872434	8.43033573667878
9.35521371407409	9.33681970606994	9.34546713342007	9.28834372049579	9.30936024239286	9.32592669790657	9.26401233024965	9.29779815887111	9.30200250012338	9.24671350942921	9.37510023575939	9.26675279628068	9.45228674637334	9.35573110751585	9.30086844003575
4.72367857533877	4.49939393012452	4.4910760500444	4.28571984276574	4.81803281378294	4.71276730535476	4.46919287896926	4.55371452135774	4.69264012984944	5.05406843148681	4.85778973645948	5.71060399306427	4.36919497575104	4.86191649485289	4.86489579422245
9.78245866188503	9.7499150533289	9.73455026883681	9.79305264812907	9.73709149846566	9.71868727689857	9.60205578619003	9.63291150103534	9.61380248321363	9.50442646649865	9.50387599519679	9.28944039098858	9.60207497044781	9.60832798547247	9.5954481042572
8.84351834534477	8.91674159009056	8.88029556516752	8.94684068415066	8.89011049182711	8.91536374248217	8.84822138108714	8.80655009297215	8.87423559649226	8.76594304469019	8.79205077798623	8.58618415842915	8.95278282649598	8.79843425433597	8.80324230048412
4.52940975491671	4.68431164604231	4.87656927370924	4.4447093665269	4.74527647134762	4.72536734213439	4.5219802933287	4.52223628988457	4.44471261640586	4.92789132540967	4.78420860407837	5.82796094370242	4.66617671350817	5.09269670168206	4.88797940733549
8.73005435559933	8.71516543556842	8.75058606522541	8.74578799132331	8.73435282231138	8.64557777884111	8.57914516846551	8.62583266316588	8.58312664510295	8.47752075301854	8.61238199764353	8.47181713347714	8.54277931977895	8.45544100907747	8.55815791029049
4.17793738441534	4.31552973772433	4.32601680377391	4.59921931558253	4.79418607182857	4.44973289952097	4.66965746137096	4.70155998932913	4.51319235428862	4.80658502918754	4.77579636426217	5.35152289975944	4.54734048399833	5.12984970009953	4.82956272111017
4.92481844744663	4.62902921054112	4.90611354932325	4.80867268121148	4.96411107327088	5.09904581165218	4.86619645541784	4.79232545325231	4.71773111081228	5.15028374674611	5.24058689873812	5.85032875673088	4.54734048399833	4.78636546184572	5.26825148845365
