k4_temp10_1	k4_temp10_2	k4_temp10_3	k4_temp14_1	k4_temp14_2	k4_temp14_3	k4_temp20_1	k4_temp20_2	k4_temp20_3	k4_temp24_1	k4_temp24_2	k4_temp24_3	k4_temp26_1	k4_temp26_2	k4_temp26_3
5.03465583669869	4.52500435906583	4.82355013823919	4.74357785608412	4.76356872733938	4.59422150824719	4.80041100413553	4.33646115940725	4.56188235733219	4.43972644183112	4.63492117234826	4.98061380003924	4.60944382244274	4.49681440861845	4.586496978519
8.85704222492764	8.77096314492743	8.92321280879507	8.77304920293273	8.72139981265643	8.74531310833443	8.68688307474036	8.69437695149846	8.71892364350336	8.65791524203913	8.74353266346014	8.52979075216007	8.87277197176298	8.58336974109858	8.83001946853905
8.56018278492122	8.60534286027417	8.42920109063703	8.62784303475835	8.55734907016441	8.50223522068621	8.61461501685998	8.52455047722384	8.64194010335085	8.53667904861631	8.5068566341046	8.28850275188995	8.1461046924511	8.75726165832969	8.39858868453194
9.33150347009034	9.29233031857133	9.35394050218747	9.26061209521524	9.30622468007772	9.32155929569405	9.24862993142697	9.29535324465489	9.28922974301192	9.28176755820846	9.40052729872102	9.40367141715856	9.4356077572636	9.36665111039622	9.33237842253798
4.99274560406825	4.84391811929062	4.55497889420173	4.48820100679262	4.78756061341071	4.67282553641802	4.51286156464561	4.56016426136184	4.67604862968656	4.65779858154888	4.59308329538897	4.85968850623902	4.47902116416896	4.58547137674925	4.57406696707802
9.73174061015424	9.67220558019304	9.73858092301677	9.74209512122996	9.73655933897937	9.71734864687513	9.58251017895378	9.6298382848053	9.6012880446988	9.56599307604245	9.53757394463518	9.43266121717742	9.58166813483575	9.63540075357587	9.64836364217935
8.85215434726632	8.90603382487303	8.89408045819238	8.93482448510952	8.88442314969432	8.90783028510078	8.83795969780388	8.80502621683544	8.86110844505039	8.75153719705935	8.7800302972747	8.53405306561261	8.94853521476665	8.77371689977245	8.79859240773925
4.81075726813193	5.0139652190192	4.93607039439865	4.63987408569798	4.71436143668395	4.68552273834869	4.56499887025799	4.5287450482378	4.42791571441228	4.5186408390691	4.51477626431843	5.00964510470731	4.76861178463905	4.83100924222088	4.59882794499182
8.74586285572584	8.72066791614544	8.76585203577604	8.74302391723596	8.72771745510053	8.63596386769888	8.57219732052677	8.62464761306441	8.56975831707394	8.43344308127475	8.5888219221191	8.38791694035133	8.54873564863239	8.40879032972955	8.53569902346344
4.48150282732061	4.67483982137626	4.39180436370133	4.78727373279663	4.76356872733938	4.40776274144395	4.71085730518272	4.7077325347439	4.49645218606908	4.38485499744	4.50582373119828	4.40086115060765	4.65273308550427	4.87053805646641	4.53616642530948
5.18117064590371	4.96312845751015	4.96527732107024	4.98708838787892	4.93452798387333	5.06208282841768	4.90497580334592	4.79832782303815	4.70116039790835	4.76391217441634	5.00046638817707	5.03822629345397	4.65273308550427	4.50508909599113	5.00673239893022
4.57163599988833	4.46603122158836	4.60546989231402	4.77647913227552	4.49893335242392	4.5670465043291	4.3034963687515	4.48575707563666	4.41785372053511	4.32802344907659	4.35499284393434	4.04866042274063	4.53419647296657	4.19523448510593	4.45746159529476
8.87942151358854	8.89484266791019	8.7624938478736	8.82320822350698	8.78033535532892	8.73442884074755	8.61858971227961	8.5966616074711	8.61736032971089	8.51253421203191	8.54483323740617	8.14701801769914	8.5011661657865	8.59318145468639	8.69333508787387
6.50212178795958	6.65152827514617	6.4797977671412	6.76596650637543	6.41743031137494	6.51222296678908	7.21035532528734	7.00078817189315	7.11819869619765	7.05704205700615	7.13054605248814	7.30251738957991	6.85291830252323	7.28801146893803	6.75334159982135
9.48590820300651	9.49394572743743	9.56264591393928	9.53959721642115	9.5028167052828	9.52406822401484	9.45017681854985	9.43382844872176	9.47039918636125	9.54251689873934	9.55207284856896	9.54426584142908	9.65537597676883	9.51780608770308	9.43120820206821
5.03465583669869	5.09145744222012	5.09418503477783	4.92040315405038	5.1161992894703	5.12882728781167	4.85713202038619	4.95617914627056	4.85825978947914	5.0758528968113	4.8715972017038	4.85968850623902	4.89971586217749	4.80407959025631	4.95881748463295
5.19955863976136	5.04355775772525	5.36590641094791	4.92040315405038	5.269127555621	5.11947792838817	4.93819239797659	4.89181132934885	4.85079780760958	5.16947485183152	5.0069583855027	5.44389931926294	4.99756891911965	5.23885052645758	5.21808687772667
7.07084603039808	7.08583668650435	6.96395974244904	6.88103136967679	6.9600788154443	7.01520750115199	6.91356119544684	6.95635839235443	7.00495779893988	6.80568614752019	6.82406913614579	6.62832213742714	6.56697694491498	6.93705864518459	6.9209616848348
9.29539180104265	9.24345039970443	9.29730999868083	9.20402909972361	9.35511455788207	9.30003637666915	9.25117842731581	9.33500599491206	9.23889525934431	9.23963651008958	9.2683139428257	9.38498313512474	9.04223700489601	9.31863585518848	9.31440056577643
5.1436266566796	5.20846069767236	5.23650694750501	5.09438720909746	5.18113236840553	5.08146738733261	4.91168135635134	4.7895205164358	4.75011051878712	4.8285713095248	4.76162024527299	4.8906715842466	4.88774310868185	4.88349130456392	4.99726736572778
7.63474430364419	7.53282444985971	7.53669492976845	7.51373499093081	7.38229569265527	7.36835768255728	7.36912437273959	7.52047088943827	7.37677570965343	7.17730938214698	7.31120430018638	7.16462511224975	7.34588373901614	7.64125980473991	7.42395321162862
4.93846133121578	4.84391811929062	5.00331215491268	4.78727373279663	4.701794465886	4.62089785999782	4.77118069948419	4.86691174399536	4.73397749867862	4.71173982176368	4.4694822693741	4.18873662373217	4.67388822166934	4.62413716909741	4.56153630667571
4.92733783879167	4.88851650854494	5.18788104196934	4.78727373279663	4.93452798387333	4.88596065497189	4.63167430254639	4.68890886617071	4.79745542518356	4.56915664373425	4.69957725530619	4.8906715842466	4.53419647296657	4.50508909599113	4.77289078547216
