k4_temp26_1	k4_temp26_2	k4_temp26_3
5.40690488681213	5.42863849346056	5.45126530997607
5.4018753591373	5.51990962746473	5.27197917367133
9.25064523053619	8.92204775866892	9.16015213475967
8.56246134323766	9.10774995266103	8.80910189863311
9.81998318933117	9.65136629890115	9.62983417076997
5.44162908536413	5.67688524733431	5.25061054575179
5.31892307469798	5.49200263784351	5.44186839317991
9.96855751141153	9.90575548796696	9.91009323407423
4.97732117579221	4.73993551145691	4.67657058852297
9.34931078133906	9.13010387804196	9.14864509958048
5.51799427197371	5.67191878099051	5.46060142384923
8.96287140972794	8.78903240158734	8.91816838626867
5.43671935645473	5.70146433823407	5.41330477525353
5.43671935645473	5.43451524224575	5.77688451869435
5.14923163662123	5.20624122755949	5.26133441590098
5.35580282894039	5.21991632568468	5.35442308792112
8.91821458417452	8.95921453343098	9.05543996502604
7.26731450476022	7.72810902846884	7.25310874181875
10.0562040850592	9.80699328639854	9.73552915751412
5.27007757362012	5.41681269803591	5.42288894676096
5.61245660130972	5.65188017513596	5.7390213749566
5.68464049656713	5.9838773205975	5.94595861411363
7.00076872260019	7.40945750286143	7.39864569207514
5.36616905452786	5.3988902630673	5.46987751650088
9.47167262183732	9.64726006978766	9.64680415829653
5.60372197579517	5.7111799204791	5.76939096314628
7.88449518227288	8.19514431157797	8.03918281185105
5.68049289521615	5.6916828900488	5.38416426696859
5.45139870610333	5.51990962746473	5.43240987639003
5.35580282894039	5.43451524224575	5.59384490590712
8.9413659206097	8.17597739348189	8.46971156549737
6.16907992836816	6.40792435543056	6.41318636783032
5.86358596732145	6.03118535632152	5.80647550607687
5.5547128250302	5.38074240659724	5.21795228072589
5.27558722613929	5.24688375102638	5.18453770762876
9.05466449006453	8.94075082913839	8.89425121128585
8.50263552853478	8.56223365505199	8.41312860488491
5.55017378361687	5.70146433823407	5.48825269044251
9.28041177364475	9.04286632905655	8.95331675160912
5.53187346311859	5.61094821551312	5.44186839317991
9.74450956336055	9.45682581162746	9.32065365940908
6.56749775006307	6.52547351363371	6.46976628661254
5.53187346311859	5.83186691622845	5.55949901124448
5.16118679145275	5.29289696522719	5.12706750936264
9.32427314256096	9.66079784335976	9.56908594536494
5.25342125223018	5.70146433823407	5.64387779739915
5.35580282894039	5.66693516012641	5.31378987707155
8.09858099352433	8.56089096642373	8.31873724333155
8.21284332734844	8.42801208613421	8.46043384318665
5.36099525098207	5.42273771117601	5.35442308792112
