k4_temp26_1	k4_temp26_2	k4_temp26_3
5.01373936273464	4.97387049404615	5.00875976398685
5.00705110150952	5.0945815096643	4.78266112454639
9.19228730265666	8.90057213127515	9.14192962805635
8.50441575624334	9.08033973380291	8.77570033373723
9.73135514883605	9.66381297714641	9.63229759181607
5.06448005808814	5.29313915317719	4.7591320787403
4.8804621873999	5.0577644406566	4.99618824640555
9.86823060182852	9.92941935460851	9.91879143698728
4.32833904629534	3.99779096167185	3.9285321607448
9.28593327664281	9.11642904520093	9.13322998538862
5.17313263392807	5.28367304989541	5.02798412191409
8.91343302191899	8.75682460332025	8.88893765945934
5.05542501035871	5.322015619364	4.96735957462899
5.05465806917024	4.97772301124168	5.40754868812911
4.61534948138424	4.68074764096597	4.75578759723714
4.94007873023112	4.69504473159074	4.88080852892009
8.86093915940013	8.93388669085389	9.03138089619661
7.22188590576975	7.62098114849234	7.11487548649375
9.96074759421532	9.82732718078101	9.74177038995142
4.80574291895582	4.9606605191254	4.96956762931537
5.30383532357949	5.25488056183077	5.37052695613006
5.39703014759498	5.65949822050334	5.62335068006934
6.93460403072336	7.28052037156964	7.26363858784142
4.95293552168268	4.93505377862831	5.0304225721091
9.38413716323503	9.65560934321009	9.64723456050563
5.29066373515959	5.32888519708337	5.40786519891238
7.84898897214573	8.12158217241964	7.95705891999499
5.40090929503594	5.3072431057731	4.9358468044631
5.07858595404175	5.09205875922773	4.98806719922534
4.93577330842799	4.98069589192268	5.18418232669335
8.91802606131578	8.11360159647664	8.41856614474532
6.00813191088528	6.16042532087884	6.17003283816981
5.63662634203572	5.71569481016438	5.46295685881638
5.23073348268955	4.91141501207888	4.71315749696314
4.81807820926505	4.73560387078392	4.65983019612582
9.00231675059631	8.91454117522497	8.867060087683
8.46677018149726	8.51156712221774	8.3592541231867
5.21840387698774	5.31984176779563	5.06377759150316
9.22411074118073	9.02331437070649	8.93127475956899
5.19377177193187	5.20704997203731	5.00363350367486
9.66742842624273	9.45954336052203	9.31552141149081
6.47756129002715	6.30071010790187	6.23912807070227
5.19027397066964	5.47989724064148	5.15404112621494
4.63533457205195	4.80101639759297	4.58191383388692
9.23835456687092	9.66676805066754	9.56715809537549
4.77479508931081	5.32201408555758	5.24817152895764
4.93611812688928	5.28115211098962	4.83833166941749
8.05590342196611	8.5056136945708	8.25607083557515
8.17313260775009	8.36981434180423	8.4029272232268
4.94594253470385	4.96791283284105	4.88532776532919
4.98974932658444	5.01840326503397	5.15413389774764
6.60197820253231	6.48505057771469	6.56881135445271
4.97670186790435	5.45789180842002	5.3868833420164
9.30057967869176	8.99888014381539	9.20721200194666
5.0268808882943	5.18179876533018	5.02400698006505
4.96309083658234	4.80384386295784	4.83104699539867
4.96290258364191	5.25715953023596	5.41054732793451
5.7771945975936	5.76548654976	5.81916060937997
9.25094731329348	9.61489401087916	9.45607136550081
5.20308783310428	5.05663107849765	4.79885041355011
4.26238001370445	4.23324106995434	4.43568548058013
3.10215218876926	3.42945199613616	1.82929693034621
4.97247904577634	5.32760588033234	5.10472522620637
