sample	group
temp10_1	temp10
temp10_2	temp10
temp10_3	temp10
temp14_1	temp14
temp14_2	temp14
temp14_3	temp14
temp20_1	temp20
temp20_2	temp20
temp20_3	temp20
temp26_1	temp26
temp26_2	temp26
temp26_3	temp26
